id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-10-16 01:44:00,[3],0.49,False,243,22570,172,1.2.0+86c25ac5d,808459,0.006120136
big.decred.energy,mainnet,2022-05-01,2023-10-16 01:44:00,[3],0.30000000000000004,False,276,3925,20,1.2.0,808460,0.006952141
dcrhive.com,mainnet,2022-06-23,2023-10-16 01:44:00,[3],0.15,False,1049,11977,47,1.3.0-pre+a254e943f,808458,0.026420511
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-10-16 01:44:00,[3],0.9500000000000001,False,190,9695,60,1.2.0+86c25ac5d,808458,0.004785412
decredvoting.com,mainnet,2021-02-01,2023-10-16 01:44:00,[3],1,False,103,4509,31,1.2.0,808458,0.0025941972
stakey.net,mainnet,2020-10-22,2023-10-16 01:44:00,[3],1,False,402,29432,214,1.3.1+209042951,808460,0.010125944000000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-10-16 01:44:00,[3],0.6900000000000001,False,468,43131,882,1.3.1+22d04116b,1235707,0.0906801
teststakepool.decred.org,testnet,2020-06-01,2023-10-16 01:44:00,[3],3,False,0,213770,1032,1.3.0-pre+de79ce74b,1235707,0
ultravsp.uk,mainnet,2020-12-01,2023-10-16 01:44:00,[3],0.30000000000000004,False,175,12266,72,1.3.0-pre+8f6b0c2e9,808458,0.0044076163
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-10-16 01:44:00,[3],0.25,False,256,268,0,1.3.0+43d3210dc,808459,0.006447551
vsp.coinmine.pl,mainnet,2021-01-28,2023-10-16 01:44:00,[3],0.5,False,264,28819,174,1.3.1,808460,0.006649874
vsp.dcr.farm,mainnet,2020-12-09,2023-10-16 01:44:00,[3],0.15,False,162,7230,43,1.3.1,808459,0.0040800907
vsp.decredcommunity.org,mainnet,2020-11-05,2023-10-16 01:44:00,[3],0.49,False,509,10711,47,1.3.0+43d3210dc,808458,0.012819867
vsp.stakeminer.com,mainnet,2020-11-09,2023-10-16 01:44:00,[3],1,False,506,26787,165,1.3.1+22d04116b,808460,0.012745592
vspd.99split.com,mainnet,2020-11-17,2023-10-16 01:44:01,[3],0.30000000000000004,False,438,25476,156,1.3.1+22d04116b,808458,0.011031634
vspd.bass.cf,mainnet,2022-05-01,2023-10-16 01:44:00,[3],0.2,False,1116,12614,119,1.2.0,808458,0.028107999
vspd.decredbrasil.com,mainnet,2020-11-22,2023-10-16 01:44:00,[3],5,False,53,2640,20,1.3.1+22d04116b,808458,0.0013348782000000001
