id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-10-21 01:40:06,[3],0.49,False,339,22614,172,1.2.0+86c25ac5d,809898,0.009312675000000001
big.decred.energy,mainnet,2022-05-01,2023-10-21 01:40:06,[3],0.30000000000000004,False,271,3970,20,1.2.0,809898,0.0074446457
dcrhive.com,mainnet,2022-06-23,2023-10-21 01:40:06,[3],0.15,False,1005,12151,48,1.3.0-pre+a254e943f,809898,0.027608372000000003
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-10-21 01:40:06,[3],0.9500000000000001,False,175,9727,60,1.3.1+22d04116b,809898,0.004807428
decredvoting.com,mainnet,2021-02-01,2023-10-21 01:40:06,[3],1,False,95,4526,31,1.3.1,809898,0.0026097468000000003
stakey.net,mainnet,2020-10-22,2023-10-21 01:40:06,[3],1,False,365,29505,214,1.3.1+209042951,809898,0.010026921500000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-10-21 01:40:06,[3],0.6900000000000001,False,383,44859,888,1.3.1+22d04116b,1239540,0.07849969
teststakepool.decred.org,testnet,2020-06-01,2023-10-21 01:40:06,[3],3,False,0,213770,1032,1.3.0-pre+de79ce74b,1239540,0
ultravsp.uk,mainnet,2020-12-01,2023-10-21 01:40:06,[3],0.30000000000000004,False,170,12302,72,1.3.0-pre+8f6b0c2e9,809898,0.0046700733
vote.dcr-swiss.ch,mainnet,2023-06-30,2023-10-21 01:40:06,[3],0.25,False,234,305,0,1.3.0+43d3210dc,809898,0.0064282184000000004
vsp.coinmine.pl,mainnet,2021-01-28,2023-10-21 01:40:06,[3],0.5,False,243,28859,174,1.3.1,809898,0.0066754576
vsp.dcr.farm,mainnet,2020-12-09,2023-10-21 01:40:06,[3],0.15,False,164,7258,43,1.3.1,809898,0.004505247
vsp.decredcommunity.org,mainnet,2020-11-05,2023-10-21 01:40:06,[3],0.49,False,485,10799,47,1.3.0+43d3210dc,809898,0.013323444
vsp.stakeminer.com,mainnet,2020-11-09,2023-10-21 01:40:06,[3],1,False,426,26883,165,1.3.1+22d04116b,809898,0.011702654000000002
vspd.99split.com,mainnet,2020-11-17,2023-10-21 01:40:06,[3],0.30000000000000004,False,381,25546,156,1.3.1+22d04116b,809898,0.010466458000000001
vspd.bass.cf,mainnet,2022-05-01,2023-10-21 01:40:06,[3],0.2,False,998,12815,120,1.2.0,809898,0.027416077
vspd.decredbrasil.com,mainnet,2020-11-22,2023-10-21 01:40:06,[3],5,False,42,2653,20,1.3.1+22d04116b,809898,0.0011537827000000001
