baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,date
doge,btc,0,0,0,0,0,0,02:42.0
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,02:42.0
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,02:45.0
dcr,ltc,20889000,0,-0.0109375,10,21120000,20889000,02:45.0
eth,btc,699000,0,0,0,699000,699000,02:45.0
ltc,btc,312100,0,0,0,312100,312100,02:40.0
dcr,btc,63200,0,-0.045317221,1400,66700,62600,02:40.0
