baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,date
doge,btc,0,0,0,0,0,0,03:06.0
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,03:06.0
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,03:08.0
dcr,ltc,20889000,0,0,0,20889000,20889000,03:08.0
eth,btc,699000,0,0,0,699000,699000,03:08.0
ltc,btc,312100,0,0,0,312100,312100,03:04.0
dcr,btc,65300,0,0.036507937,880,65700,63000,03:10.0
