baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,date
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,44:32.0
dcr,ltc,21120000,0,0,12,21437000,21120000,44:32.0
eth,btc,699000,0,0,0,699000,699000,44:32.0
ltc,btc,312100,0,0,0,312100,312100,44:32.0
dcr,btc,66600,0,0.001503759,1640,68200,60000,44:30.0
doge,btc,0,0,0,0,0,0,44:30.0
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,44:30.0
