pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
okx.com,https://www.okx.com/pool,0,-1,-1,23,PPLNS,0,0,0,0,630904,0,0,0,73,0,8004662835583.331,168,0,0
coinmine.pl,https://www2.coinmine.pl/dcr,248865873891164,-1,0.05,5,PPLNS,24,0,0,5,713770,1669072897,3,1,73,0,587651600451369.4,168,0.29,0.7120151516593425
antpool.com,https://lab.antpool.com,14070000000000000,-1,0.1,11,PPS,0,4.0205142e-15,0,0,712107,1668580440,0,0,73,0,10634577552458332,168,19.48,0
pool.btc.com,https://pool.btc.com,4131999999999999.5,-1,0.1,4,PPS,96,4.1448616891115996e-15,14502,10,713814,1669084332,65,8,73,0,4076250378458332,168,5.85,2.148065752818715
f2pool.com,https://www.f2pool.com,23713274391903064,-1,0.1,14,PPS%3,0,3.9168345291466365e-15,0,7,713813,1669084133,322,33,73,0,25060827052976200,168,33.37,-0.3664264650275726
poolin.com,https://www.poolin.com,35834000000000004,-1,0.01,3,PPS,1471,4.57849e-15,0,23,713815,1669084744,480,49,73,0,28966491942321420,168,50.78,-1.781639287791137
