baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,polygon,70786002030,0,0,0,70786002030,70786002030,0.0,2026-01-12 01:34:00.024
firo,usdt.polygon,3973350,0,0,0,3973350,3973350,0.0,2026-01-12 01:34:00.023
usdc.polygon,usdt.polygon,100000000,0,0,0,100000000,100000000,0.0,2026-01-12 01:34:00.016
btc,usdt.polygon,82956946910,0,0,0,82956946910,82956946910,0.0,2026-01-12 01:34:00.012
dcr,btc,18000,0,0,0,18000,18000,0.0,2026-01-12 01:34:00.026
dcr,usdc.polygon,30000000,0,0,0,30000000,30000000,0.0,2026-01-12 01:34:00.023
dcr,usdt.polygon,15234840,0,0,0,15234840,15234840,0.0,2026-01-12 01:34:00.020
ltc,usdt.polygon,88146680,0,0,0,88146680,88146680,0.0,2026-01-12 01:34:00.023
