pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
miningandco.com,https://decred.miningandco.com,8080000000000,-1,-1,33,PPS,0,0,0,10,1026968,1762898451,0,0,64,0,9740187500000,168,21.66,0
threepool.tech,https://dcr.threepool.tech,4750000000000,-1,-1,35,PPLNS,0,0,0,11,1028745,1763427349,102,7,64,0,5942761904761.908,168,13.19,-6.1941966589846285
woolypooly.com,https://woolypooly.com,100330438656,3,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,15950,0,0,0,0,0,64,0,29972872476.09523,168,0.26,0
cedric-crispin.com,https://decred.cedric-crispin.com,4896368982987,46,0.001,36,PPLNS,0,0,19443,21,1028740,1763426030,120,19,64,0,3871820808732.1436,168,12.81,6.1941966589846285
