,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
100,1672504891,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,03bd03386d7b2efe80ae,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,18.0,220100000.0,82.0,1857350666.0,100.0
91,1672504893,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,0378f2ac061acbbc68d4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,9.0,83900000.0,41.0,296399999.0,50.0
79,1672529475,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,11.0,309994980.0,12.0,2283728232.0,23.0
0,1672494344,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",#091440,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,20.0,1175793636.0,0.0,0.0,20.0
106,1672503378,03cfb6f8ca8efa8fb940494c9af11532c6442736b86650fcb3a61e02883dc0d81d,ln.decredcommunity.org,"[{'network': 'tcp', 'addr': '95.216.110.66:9735'}]",#70cbff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,6.0,301300000.0,14.0,210307068.0,20.0
54,1672353169,02eb748be2076349531a66b6cebe0db50af282d4fe89d0da7160497ac1613efd12,02eb748be2076349531a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,8.0,28000000.0,5.0,112000666.0,13.0
110,1672478747,03d59c3acef408f54870b4f06d18007ca069c6c7bce913d36aae79219c8f46b9d3,watchtower.decred.live,"[{'network': 'tcp', 'addr': '82.165.108.160:9735'}]",#41bf53,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,9.0,2167037653.0,10.0
43,1672509900,02c40ba38409c6ae0b895ea9741e9eb07be8e1cd2504580f221127e7b6e3340e83,⚡ln.dcrhive.com⚡,"[{'network': 'tcp', 'addr': '51.75.161.171:9735'}]",#a333ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,5.0,1100003330.0,5.0,1215005138.0,10.0
114,1672270741,03ea6dfff9e1cb747ff426da64bc849b60788864e6ca5e5ac746245273ddd7042a,03ea6dfff9e1cb747ff4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,9996310.0,8.0,75996782.0,9.0
73,1672530664,033c8d18df6a62acb3eda5d385a962ca3e34055d05421191ad4eeff58aefa06ed8,watchtower.decred.energy,"[{'network': 'tcp', 'addr': '108.170.31.106:9735'}]",#41bf53,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,5.0,618000000.0,4.0,503000666.0,9.0
