id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-05-22 01:47:50,[3],0.30000000000000004,False,324,6042,36,34,2,1.3.2,871535,0.008102431
dcrhive.com,mainnet,2022-06-23,2024-05-22 01:47:49,[3],0.15,False,1030,20536,118,118,0,1.3.2+bec2d12a0,871535,0.025757728
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-05-22 01:47:50,[3],0.9500000000000001,False,615,11603,69,68,1,1.3.2+bec2d12a0,871535,0.015379614000000002
decred.stake.fun,mainnet,2021-01-28,2024-05-22 01:47:49,[3],0.5,False,80,29928,183,181,2,1.3.1,871535,0.0020006
decredvoting.com,mainnet,2021-02-01,2024-05-22 01:47:50,[3],1,False,96,5495,37,36,1,1.3.2,871535,0.0024007203
stakey.net,mainnet,2020-10-22,2024-05-22 01:47:49,[3],1,False,195,31356,240,240,0,1.3.2+f79363a87,871535,0.0048764627000000005
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-05-22 01:47:49,[3],0.6900000000000001,False,519,130823,1096,320,776,1.3.1+22d04116b,1392688,0.09150211500000001
teststakepool.decred.org,testnet,2020-06-01,2024-05-22 01:47:49,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1392688,0
ultravsp.uk,mainnet,2020-12-01,2024-05-22 01:47:49,[3],0.30000000000000004,False,256,14544,84,83,1,1.4.0-pre+015cf707b,871535,0.0064019207
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-05-22 01:47:49,[3],0.1,False,1033,5225,14,14,0,1.3.2+bec2d12a0,871535,0.02583275
vsp.dcr.farm,mainnet,2020-12-09,2024-05-22 01:47:49,[3],1,False,54,8488,53,51,2,1.3.1,871535,0.0013504052000000001
vsp.decredcommunity.org,mainnet,2020-11-05,2024-05-22 01:47:49,[3],0.49,False,339,14203,79,79,0,1.3.2+bec2d12a0,871535,0.0084775435
vsp.stakeminer.com,mainnet,2020-11-09,2024-05-22 01:47:50,[3],1,False,380,30928,190,190,0,1.3.2+81acb861c,871535,0.0095028505
vspd.99split.com,mainnet,2020-11-17,2024-05-22 01:47:50,[3],0.30000000000000004,False,166,27935,184,184,0,1.3.2,871535,0.0041512456
vspd.bass.cf,mainnet,2022-05-01,2024-05-22 01:47:50,[3],0.2,False,880,20234,171,0,0,1.2.0,871535,0.022006601
vspd.decredbrasil.com,mainnet,2020-11-22,2024-05-22 01:47:50,[3],5,False,22,2917,23,23,0,1.3.2,871535,0.0005501651000000001
