baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-06-22 02:13:20.024
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-06-22 02:13:21.023
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-06-22 02:13:21.020
dcr,btc,47100,0,-0.05040322580645161,1760,50100,46900,25319.57497732696,2023-06-22 02:13:20.027
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-06-22 02:13:24.019
doge,btc,0,0,0.0,0,0,0,0.0,2023-06-22 02:13:24.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-06-22 02:13:21.023
dcr,ltc,16640000,0,0.0,0,16640000,16640000,0.0,2023-06-22 02:13:21.023
dgb,btc,28,0,0.0,0,28,28,0.0,2023-06-22 02:13:24.022
ltc,btc,312100,0,0.0,0,312100,312100,0.0,2023-06-22 02:13:20.027
