,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
173,1685047441,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,hub0.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.32.162.169:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9002:617:5400:4ff:fe40:5353]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,39.0,451574060.0,182.0,4407286905.0,221.0
156,1685048346,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,lp0.bisonrelay.org,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,35.0,2284752299.0,94.0,2671489898.0,129.0
141,1685034020,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,9.0,308994980.0,12.0,2380728232.0,21.0
0,1685022344,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",#091440,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,16.0,1159293636.0,0.0,0.0,16.0
86,1685013162,02c40ba38409c6ae0b895ea9741e9eb07be8e1cd2504580f221127e7b6e3340e83,⚡ln.dcrhive.com⚡,"[{'network': 'tcp', 'addr': '51.75.161.171:9735'}]",#a333ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,7.0,1210002664.0,9.0,1466005138.0,16.0
170,1685037353,03b3db734a1b7b9a33fa47854a934422a04e463eafcfb69c31157b7e88428eb88e,dhill,"[{'network': 'tcp', 'addr': '207.148.9.153:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:5c01:d7f:5400:4ff:fe25:d338]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,300000000.0,10.0,1170000000.0,12.0
196,1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",#ff6600,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,40000000.0,8.0,465464128.0,9.0
16,1685040295,0221d5de42faf9b73facdde4048e945ed586e8f576f0613117d7e1f4a974812cd4,0221d5de42faf9b73fac,"[{'network': 'tcp', 'addr': '45.77.195.239:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9003:77c:5400:4ff:fe44:35b0]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,8.0,801000000.0,0.0,0.0,8.0
132,1685043277,033c8d18df6a62acb3eda5d385a962ca3e34055d05421191ad4eeff58aefa06ed8,watchtower.decred.energy,"[{'network': 'tcp', 'addr': '108.170.31.106:9735'}]",#41bf53,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,4.0,608000000.0,3.0,500000666.0,7.0
45,1681413342,026296f7990275e61ff204070490b501f85d4d4b8bf70e6a1a23beef8b132287fb,026296f7990275e61ff2,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,False,True,payment-addr,False,True,multi-path-payments,False,True,7.0,40000000.0,0.0,0.0,7.0
