id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-02-21 02:19:08,[3],0.49,False,524,19602,121,1.1.0,739952,0.012577107
big.decred.energy,mainnet,2022-05-01,2023-02-21 02:19:08,[3],0.49,False,333,1786,3,1.1.1,739952,0.0079927035
dcrhive.com,mainnet,2022-06-23,2023-02-21 02:19:08,[3],0.1,False,836,1398,3,1.1.1,739952,0.020065766000000002
dcrpool.ibitlin.com,mainnet,2021-01-13,2023-02-21 02:19:09,[3],1,False,5,1196,9,1.1.0-pre,739952,0.00012001056
dcrvsp.dittrex.com,mainnet,2021-04-07,2023-02-21 02:19:08,[3],5,False,11,497,2,1.2.0-pre,739952,0.00026402323
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-02-21 02:19:08,[3],0.9500000000000001,False,216,7706,46,1.1.1,739952,0.0051844562000000005
decredvoting.com,mainnet,2021-02-01,2023-02-21 02:19:08,[3],1,False,161,3473,24,1.1.1,739952,0.00386434
stakey.net,mainnet,2020-10-22,2023-02-21 02:19:08,[3],1,False,326,26595,195,1.1.1,739952,0.007824688
testnet-vsp.jholdstock.uk,testnet,2021-01-20,1970-01-01 00:00:00,,0,False,0,0,0,,0,0
teststakepool.decred.org,testnet,2020-06-01,2023-02-21 02:19:08,[3],3,False,0,213765,1032,1.1.1,1085127,0
ultravsp.uk,mainnet,2020-12-01,2023-02-21 02:19:08,[3],0.30000000000000004,False,570,9231,40,1.1.1,739952,0.013681204
vsp.coinmine.pl,mainnet,2021-01-28,2023-02-21 02:19:08,[3],0.5,False,262,27154,169,1.1.1,739952,0.0062885536
vsp.dcr.farm,mainnet,2020-12-09,2023-02-21 02:19:08,[3],0.9500000000000001,False,117,6099,37,1.1.0,739952,0.0028082472
vsp.decredcommunity.org,mainnet,2020-11-05,2023-02-21 02:19:08,[3],0.49,False,770,6409,20,1.1.1,739952,0.018481627
vsp.stakeminer.com,mainnet,2020-11-09,2023-02-21 02:19:08,[3],1,False,847,22402,124,1.1.1,739952,0.020329788
vspd.99split.com,mainnet,2020-11-17,2023-02-21 02:19:08,[3],0.30000000000000004,False,1916,14415,57,1.1.1,739952,0.045988046000000005
vspd.bass.cf,mainnet,2022-05-01,2023-02-21 02:19:11,[3],0.2,False,869,5641,46,1.1.1,739952,0.020857835
vspd.decredbrasil.com,mainnet,2020-11-22,2023-02-21 02:19:08,[3],5,False,76,2022,15,1.1.1,739952,0.0018241606
