id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-02-13 02:15:00,[3],0.49,False,541,19456,119,1.1.0,737656,0.013735148
big.decred.energy,mainnet,2022-05-01,2023-02-13 02:15:00,[3],0.49,False,356,1696,3,1.1.1,737656,0.009038285
dcrhive.com,mainnet,2022-06-23,2023-02-13 02:15:00,[3],0.1,False,629,1204,2,1.1.1,737656,0.01596933
dcrpool.ibitlin.com,mainnet,2021-01-13,2023-02-13 02:15:01,[3],1,False,1,1195,9,1.1.0-pre,737656,2.5388443e-05
dcrvsp.dittrex.com,mainnet,2021-04-07,2023-02-13 02:15:00,[3],5,False,12,495,2,1.2.0-pre,737656,0.0003046613
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-02-13 02:15:00,[3],0.9500000000000001,False,224,7651,46,1.1.1,737656,0.005687011400000001
decredvoting.com,mainnet,2021-02-01,2023-02-13 02:15:00,[3],1,False,149,3429,24,1.1.1,737656,0.0037828780000000004
stakey.net,mainnet,2020-10-22,2023-02-13 02:15:00,[3],1,False,303,26512,195,1.1.1,737656,0.0076926984000000006
testnet-vsp.jholdstock.uk,testnet,2021-01-20,1970-01-01 00:00:00,,0,False,0,0,0,,0,0
teststakepool.decred.org,testnet,2020-06-01,2023-02-13 02:15:00,[3],3,False,0,213765,1032,1.1.1,1079362,0
ultravsp.uk,mainnet,2020-12-01,2023-02-13 02:15:00,[3],0.30000000000000004,False,577,9082,39,1.1.1,737656,0.014649131000000001
vsp.coinmine.pl,mainnet,2021-01-28,2023-02-13 02:15:00,[3],0.5,False,246,27092,168,1.1.1,737656,0.0062455570000000005
vsp.dcr.farm,mainnet,2020-12-09,2023-02-13 02:15:00,[3],0.9500000000000001,False,110,6074,37,1.1.0,737656,0.0027927288000000002
vsp.decredcommunity.org,mainnet,2020-11-05,2023-02-13 02:15:00,[3],0.49,False,435,6234,19,1.1.1,737656,0.011043972
vsp.stakeminer.com,mainnet,2020-11-09,2023-02-13 02:15:00,[3],1,False,850,22187,123,1.1.1,737656,0.021580176000000003
vspd.99split.com,mainnet,2020-11-17,2023-02-13 02:15:00,[3],0.30000000000000004,False,1807,13874,53,1.1.1,737656,0.045876916000000004
vspd.bass.cf,mainnet,2022-05-01,2023-02-13 02:15:00,[3],0.2,False,1004,5355,39,1.1.1,737656,0.025489997
vspd.decredbrasil.com,mainnet,2020-11-22,2023-02-13 02:15:00,[3],5,False,66,2004,14,1.1.1,737656,0.0016756372
