baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-07-15 02:27:48.021
doge,btc,0,0,0.0,0,0,0,0.0,2023-07-15 02:27:48.024
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-07-15 02:27:44.028
dcr,btc,50100,0,0.022448979591836733,160,50200,49000,2488.6714670018882,2023-07-15 02:27:40.020
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-07-15 02:27:44.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-07-15 02:27:44.028
dgb,btc,28,0,0.0,0,28,28,0.0,2023-07-15 02:27:48.024
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-07-15 02:27:44.031
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-07-15 02:27:44.019
dcr,ltc,15993000,0,0.0,0,15993000,15993000,0.0,2023-07-15 02:27:44.025
