baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-07-08 02:24:42.028
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-07-08 02:24:40.023
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-07-08 02:24:42.025
dcr,ltc,16797000,0,-0.011475988700564972,4,16992000,16797000,66.6382436710056,2023-07-08 02:24:42.022
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-07-08 02:24:42.020
doge,btc,0,0,0.0,0,0,0,0.0,2023-07-08 02:24:42.025
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-07-08 02:24:40.021
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-07-08 02:24:42.022
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-07-08 02:24:42.022
dcr,btc,54900,0,0.016666666666666666,240,54900,54000,3998.2946202603357,2023-07-08 02:24:40.023
