baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-07-27 01:53:54.022
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-07-27 01:53:52.030
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-07-27 01:53:52.018
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-07-27 01:53:52.024
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-07-27 01:53:52.027
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-07-27 01:53:52.021
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-07-27 01:53:54.020
doge,btc,0,0,0.0,0,0,0,0.0,2023-07-27 01:53:54.022
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-07-27 01:53:52.027
dcr,btc,48900,0,-0.022,200,50000,48800,2928.2600899005997,2023-07-27 01:53:50.020
