baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-07-01 02:37:46.020
dcr,btc,50300,0,0.01616161616161616,1640,51500,49500,25963.03385244637,2023-07-01 02:37:40.185
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-07-01 02:37:48.020
doge,btc,0,0,0.0,0,0,0,0.0,2023-07-01 02:37:48.023
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-07-01 02:37:44.021
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-07-01 02:37:46.026
dgb,btc,28,0,0.0,0,28,28,0.0,2023-07-01 02:37:48.026
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-07-01 02:37:44.024
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-07-01 02:37:46.023
dcr,ltc,16992000,0,0.0,0,16992000,16992000,0.0,2023-07-01 02:37:46.026
