baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-07-12 02:25:12.032
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-07-12 02:25:14.020
dcr,ltc,16612000,0,0.0,0,16612000,16612000,0.0,2023-07-12 02:25:14.023
dgb,btc,28,0,0.0,0,28,28,0.0,2023-07-12 02:25:12.029
doge,btc,0,0,0.0,0,0,0,0.0,2023-07-12 02:25:12.029
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-07-12 02:25:12.023
dcr,btc,49900,0,0.002008032128514056,80,50000,49800,1232.129301059928,2023-07-12 02:25:10.187
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-07-12 02:25:14.023
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-07-12 02:25:14.023
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-07-12 02:25:12.021
