id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-11-10 02:13:54,[3],0.30000000000000004,False,254,7339,5,50,3,1.2.0,921018,0.006197843000000001
dcrhive.com,mainnet,2022-06-23,2024-11-10 02:13:54,[3],1,False,772,26932,174,173,1,1.3.2+bec2d12a0,921018,0.018837538
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-11-10 02:13:54,[3],0.9500000000000001,False,240,13300,407,87,320,1.3.2+bec2d12a0,921018,0.0058562295
decred.stake.fun,mainnet,2021-01-28,2024-11-10 02:13:54,[3],0.5,False,84,30549,185,183,2,1.3.1,921018,0.0020496803
decredvoting.com,mainnet,2021-02-01,2024-11-10 02:13:55,[3],1,False,78,6103,42,41,1,1.3.2,921018,0.0019032746000000001
stakey.net,mainnet,2020-10-22,2024-11-10 02:13:54,[3],1,False,251,32793,252,252,0,1.3.2+f79363a87,921018,0.00612464
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-06-28 09:55:07,[3],0.6900000000000001,False,379,139081,1155,340,815,1.3.0+43d3210dc,1417173,0.07387914500000001
teststakepool.decred.org,testnet,2020-06-01,2024-11-10 02:13:54,[3],3,False,0,213770,1059,0,0,1.3.0-pre+de79ce74b,1497781,0
ultravsp.uk,mainnet,2020-12-01,2024-11-10 02:13:54,[3],0.30000000000000004,False,305,16432,90,89,1,1.4.0-pre+015cf707b,921018,0.0074422920000000005
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-11-10 02:13:54,[3],0.14,False,1514,12389,60,59,1,1.3.2+bec2d12a0,921018,0.03694305
vsp.dcr.farm,mainnet,2020-12-09,2024-11-10 02:13:54,[3],1,False,38,8773,58,56,2,1.3.2,921018,0.00092723634
vsp.decredcommunity.org,mainnet,2020-11-05,2024-11-10 02:13:54,[3],0.49,False,675,16289,114,102,12,1.3.0-pre+d96089898,921018,0.016470646000000002
vsp.stakeminer.com,mainnet,2020-11-09,2024-11-10 02:13:54,[3],1,False,262,32793,204,204,0,1.3.2+81acb861c,921018,0.006393051
vspd.99split.com,mainnet,2020-11-17,2024-11-10 02:13:54,[3],0.099,False,371,29281,188,187,1,1.3.2,919769,0.009074677
vspd.bass.cf,mainnet,2022-05-01,2024-11-10 02:13:55,[3],0.2,False,200,23837,201,0,0,1.2.0,921018,0.0048801913
vspd.decredbrasil.com,mainnet,2020-11-22,2024-11-10 02:13:54,[3],5,False,2,3012,23,23,0,1.3.2,921018,4.8801913999999996e-05
