baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-09-01 01:49:06.021
ltc,btc,245900,0,-0.18087941372418387,6,300200,245900,383.497456172778,2023-09-01 01:49:04.029
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-09-01 01:49:06.010
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-09-01 01:49:06.021
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-09-01 01:49:06.018
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-09-01 01:49:06.013
doge,btc,0,0,0.0,0,0,0,0.0,2023-09-01 01:49:06.024
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-09-01 01:49:04.026
dcr,btc,49600,0,0.0,0,49600,49600,0.0,2023-09-01 01:49:00.204
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-09-01 01:49:06.021
