baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-09-18 01:42:51.022
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-09-18 01:42:48.020
doge,btc,0,0,0.0,0,0,0,0.0,2023-09-18 01:42:48.029
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-09-18 01:42:48.023
dcr,btc,50700,0,-0.019342359767891684,1000,52000,50300,13230.3164184514,2023-09-18 01:42:50.173
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-09-18 01:42:51.022
dgb,btc,28,0,0.0,0,28,28,0.0,2023-09-18 01:42:48.029
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-09-18 01:42:48.032
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-09-18 01:42:51.019
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-09-18 01:42:51.022
