baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-09-04 01:43:06.010
doge,btc,0,0,0.0,0,0,0,0.0,2023-09-04 01:43:06.017
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-09-04 01:43:04.010
dcr,btc,49200,0,-0.03718199608610567,200,51200,49200,2591.3158778941197,2023-09-04 01:43:10.188
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-09-04 01:43:05.029
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-09-04 01:43:05.026
dgb,btc,28,0,0.0,0,28,28,0.0,2023-09-04 01:43:06.024
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-09-04 01:43:04.016
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-09-04 01:43:05.023
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-09-04 01:43:05.029
