side,qty,rate,time
2,80.0,10000000,2025-01-08 17:48:46.091
2,40.0,5552640,2025-01-11 13:49:00.090
2,80.0,1000000,2025-01-14 06:16:06.207
2,40.0,24000,2025-01-04 06:52:34.450
2,80.0,23000,2025-01-14 06:16:26.721
2,80.0,17000,2025-01-18 00:37:46.721
2,40.0,16000,2025-01-17 18:48:33.331
2,80.0,16000,2025-01-18 00:37:38.720
2,40.0,15000,2025-01-18 00:37:12.720
2,160.0,15000,2025-01-21 00:41:52.720
2,40.0,12570,2025-01-23 22:47:54.796
2,40.0,12420,2025-01-24 02:00:23.319
2,40.0,12330,2025-01-24 02:08:42.654
1,40.0,11600,2025-01-24 02:06:55.143
1,1000.0,11000,2025-01-22 08:52:32.277
1,40.0,10930,2025-01-24 02:06:56.169
1,2000.0,10000,2025-01-22 08:52:20.421
1,1000.0,1000,2025-01-22 08:52:10.407
1,20000.0,910,2025-01-22 08:51:54.413
1,1640.0,900,2025-01-20 02:38:09.542
1,2400.0,600,2025-01-11 13:55:18.446
