side,qty,rate,time
2,80.0,10000000,2025-01-08 17:48:46.091
2,40.0,5552640,2025-01-11 13:49:00.090
2,40.0,24000,2025-01-04 06:52:34.450
2,160.0,17000,2025-01-25 22:32:34.721
2,40.0,16000,2025-01-17 18:48:33.331
2,80.0,15000,2025-01-25 22:32:55.155
2,160.0,13000,2025-01-25 22:30:58.721
2,40.0,12950,2025-01-24 16:34:58.722
2,40.0,12340,2025-01-28 02:06:44.721
2,40.0,12260,2025-01-28 02:06:41.221
2,40.0,12250,2025-01-28 02:08:05.835
2,40.0,12230,2025-01-28 02:04:01.230
2,40.0,12220,2025-01-28 02:08:04.469
1,40.0,11830,2025-01-28 02:05:01.243
1,40.0,11680,2025-01-28 01:23:31.932
1,40.0,11560,2025-01-28 01:23:32.332
1,40.0,11530,2025-01-28 02:06:45.753
1,1000.0,11000,2025-01-24 10:20:20.969
1,40.0,10850,2025-01-28 02:05:18.336
1,2000.0,10000,2025-01-24 10:20:26.772
1,20000.0,610,2025-01-24 10:19:59.297
1,2400.0,600,2025-01-11 13:55:18.446
