baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,35400,0,-0.0610079575596817,160,37700,35300,2358.320500689392,2023-12-19 01:51:50.017
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-12-19 01:51:58.023
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-12-19 01:51:58.023
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-12-19 01:51:54.013
doge,btc,0,0,0.0,0,0,0,0.0,2023-12-19 01:51:54.016
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-12-19 01:51:52.023
dcr,ltc,20800000,0,0.0,0,20800000,20800000,0.0,2023-12-19 01:51:58.023
dgb,btc,28,0,0.0,0,28,28,0.0,2023-12-19 01:51:54.019
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-12-19 01:51:52.026
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-12-19 01:51:58.020
