baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0,0,28,28,0.0,2023-12-04 01:52:42.019
ltc,btc,245900,0,0,0,245900,245900,0.0,2023-12-04 01:52:40.026
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-12-04 01:52:39.019
dcr,ltc,20800000,0,0,0,20800000,20800000,0.0,2023-12-04 01:52:39.022
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-12-04 01:52:42.012
doge,btc,0,0,0,0,0,0,0.0,2023-12-04 01:52:42.015
zec,btc,125300,0,0,0,125300,125300,0.0,2023-12-04 01:52:40.014
dcr,btc,34800,0,0,0,34800,34800,0.0,2023-12-04 01:52:40.023
eth,btc,699000,0,0,0,699000,699000,0.0,2023-12-04 01:52:39.022
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-12-04 01:52:39.022
