baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-12-02 01:43:52.029
dcr,btc,34800,0,-0.072,40,37500,34800,583.40830464042,2023-12-02 01:43:50.019
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-12-02 01:43:52.023
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-12-02 01:43:52.029
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-12-02 01:43:54.011
doge,btc,0,0,0.0,0,0,0,0.0,2023-12-02 01:43:54.014
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-12-02 01:43:52.020
dcr,ltc,20800000,0,0.0,0,20800000,20800000,0.0,2023-12-02 01:43:52.026
dgb,btc,28,0,0.0,0,28,28,0.0,2023-12-02 01:43:54.017
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-12-02 01:43:52.029
