baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,btc,36100,0,0.016901408450704224,160,36100,34900,2470.322144030176,2023-12-22 01:47:50.009
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-12-22 01:47:49.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-12-22 01:47:49.025
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-12-22 01:47:48.011
doge,btc,0,0,0.0,0,0,0,0.0,2023-12-22 01:47:48.014
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-12-22 01:47:52.013
dcr,ltc,20800000,0,0.0,0,20800000,20800000,0.0,2023-12-22 01:47:49.025
dgb,btc,28,0,0.0,0,28,28,0.0,2023-12-22 01:47:48.017
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-12-22 01:47:52.016
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-12-22 01:47:49.019
