baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-12-26 01:44:48.022
ltc,btc,245900,0,0.0,0,245900,245900,0.0,2023-12-26 01:44:48.022
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-12-26 01:44:51.019
dcr,ltc,20800000,0,0.0,0,20800000,20800000,0.0,2023-12-26 01:44:51.022
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-12-26 01:44:51.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-12-26 01:44:51.022
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-12-26 01:44:48.019
doge,btc,0,0,0.0,0,0,0,0.0,2023-12-26 01:44:48.022
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-12-26 01:44:48.022
dcr,btc,36900,0,0.0453257790368272,280,36900,35300,4626.41671257444,2023-12-26 01:44:50.020
