baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdt.polygon,16591400,0,0.0,0,16591400,16591400,0.0,2025-08-19 01:31:45.019
dcr,btc,14700,0,-0.013422818791946308,1160,14900,14540,20388.50101628589,2025-08-19 01:31:45.020
dcr,polygon,70786002030,0,0.0,0,70786002030,70786002030,0.0,2025-08-19 01:31:45.019
firo,usdc.polygon,682810,0,0.0,0,682810,682810,0.0,2025-08-19 01:31:45.020
ltc,usdt.polygon,88146680,0,0.0,0,88146680,88146680,0.0,2025-08-19 01:31:45.020
btc,usdt.polygon,110160976260,0,0.0,0,110160976260,110160976260,0.0,2025-08-19 01:31:45.019
usdc.polygon,usdt.polygon,100000000,0,0.0,0,100000000,100000000,0.0,2025-08-19 01:31:45.016
dcr,usdc.polygon,17980000,0,0.0,0,17980000,17980000,0.0,2025-08-19 01:31:45.020
