side,qty,rate,time
2,1.0,14802790,2025-02-13 01:53:32.801
2,8.9,14802790,2025-02-13 01:53:26.947
2,10.0,14392170,2025-02-13 01:53:26.119
2,10.0,14323730,2025-02-13 01:53:25.177
2,50.0,14316820,2025-02-13 01:55:32.040
2,10.0,14255300,2025-02-13 01:53:24.223
2,10.0,14186860,2025-02-13 01:53:23.437
2,10.0,14118420,2025-02-13 01:53:22.681
2,25.0,14061620,2025-02-13 02:10:31.494
2,25.0,14061620,2025-02-13 02:07:33.310
2,25.0,14061620,2025-02-13 02:07:32.899
2,25.0,14051380,2025-02-13 02:06:01.326
1,25.0,13406360,2025-02-13 02:10:01.895
1,25.0,13386820,2025-02-13 02:05:33.354
1,0.2,13386770,2025-02-13 02:10:02.425
1,25.0,13377010,2025-02-13 02:05:33.901
1,0.1,13377010,2025-02-13 02:05:34.502
1,200.0,13226080,2025-02-13 01:55:31.306
