side,qty,rate,time
2,0.5,45826568530,2025-02-15 02:10:48.276
2,0.5,45613847470,2025-02-15 02:10:47.886
2,0.2,45446959640,2025-02-15 01:49:24.706
2,0.2,45234819410,2025-02-15 01:49:24.505
2,0.2,45022679180,2025-02-15 01:49:24.201
2,0.2,44810538950,2025-02-15 01:49:23.976
2,20.0,44673670400,2025-02-15 01:17:23.963
2,0.2,44598398720,2025-02-15 01:49:23.746
2,0.2,44386258480,2025-02-15 01:49:23.488
2,0.2,44174118250,2025-02-15 01:49:23.303
2,0.2,43961978020,2025-02-15 01:49:23.081
2,5.0,43781176540,2025-02-15 01:17:23.279
2,0.2,43749837790,2025-02-15 01:49:22.868
2,5.0,43653677420,2025-02-15 01:17:22.194
2,0.2,43537697560,2025-02-15 01:49:22.719
2,5.0,43526178290,2025-02-15 01:17:21.030
2,0.1,43525912130,2025-02-15 01:50:15.469
2,5.0,43398679170,2025-02-15 01:17:19.394
2,0.2,43325557320,2025-02-15 01:49:22.548
1,0.2,41530535520,2025-02-15 01:49:18.839
1,0.2,41318395280,2025-02-15 01:49:19.163
1,0.2,41106255050,2025-02-15 01:49:19.511
1,0.2,40894114820,2025-02-15 01:49:19.813
1,0.2,40681974590,2025-02-15 01:49:20.171
1,0.2,40469834360,2025-02-15 01:49:20.585
1,0.2,40257694120,2025-02-15 01:49:20.883
1,0.2,40045553890,2025-02-15 01:49:21.222
1,0.2,39833413660,2025-02-15 01:49:21.521
1,0.2,39621273430,2025-02-15 01:49:21.810
1,0.5,39474579430,2025-02-15 02:10:46.861
1,0.2,39409133200,2025-02-15 01:49:21.979
1,0.5,39261858370,2025-02-15 02:10:47.160
