baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-05-19 02:01:48.020
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-05-19 02:01:49.025
ltc,btc,312100,0,0.0,0,312100,312100,0.0,2023-05-19 02:01:44.025
doge,btc,0,0,0.0,0,0,0,0.0,2023-05-19 02:01:48.023
dgb,btc,28,0,0.0,0,28,28,0.0,2023-05-19 02:01:48.023
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-05-19 02:01:49.019
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-05-19 02:01:49.028
dcr,ltc,20156000,0,0.0,0,20156000,20156000,0.0,2023-05-19 02:01:49.022
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-05-19 02:01:44.022
dcr,btc,61700,0,-0.03442879499217527,200,63900,61700,3433.60007681376,2023-05-19 02:01:40.022
