baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,date,vol24USDT
doge,btc,0,0,0.0,0,0,0,2023-05-03 02:00:12.023,0
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,2023-05-03 02:00:12.020,0
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,2023-05-03 02:00:16.021,0
dcr,ltc,20754000,0,0.027476607752859053,2,20754000,20199000,2023-05-03 02:00:16.024,35.8
eth,btc,699000,0,0.0,0,699000,699000,2023-05-03 02:00:16.024,0
ltc,btc,312100,0,0.0,0,312100,312100,2023-05-03 02:00:16.024,0
dcr,btc,62800,0,-0.01567398119122257,1120,64500,62800,2023-05-03 02:00:10.023,20048
