date,sumLNCapacity
2023-08-01,18603584037
2023-08-02,18953584037
2023-08-03,18953584037
2023-08-04,18953584037
2023-08-05,18953584037
2023-08-08,17997290401
2023-08-09,17987290401
2023-08-10,18217286711
2023-08-11,18212286711
2023-08-12,18212286711
2023-08-13,18212286711
2023-08-14,18213772308
2023-08-15,18213772308
2023-08-16,18213772308
2023-08-17,18207682308
2023-08-18,18207682308
2023-08-19,18207682308
2023-08-20,18207682308
2023-08-21,18207682308
2023-08-22,18277682308
2023-08-23,18277682308
2023-08-24,18807682308
2023-08-25,18917682308
2023-08-26,18717682308
2023-08-27,18717982308
2023-08-28,18687985998
2023-08-29,18687985998
2023-08-30,18687985998
2023-08-31,18687985998
2023-09-01,18687985998
2023-09-02,18624685998
2023-09-03,18724685998
2023-09-04,18724685998
2023-09-05,18724685998
2023-09-06,18714685998
2023-09-07,18714685998
2023-09-08,18714685998
2023-09-09,18715685998
2023-09-10,18615685998
2023-09-11,18615685998
2023-09-12,18746685998
2023-09-13,18727685998
2023-09-14,18727685998
2023-09-15,18697685998
2023-09-16,18697685998
2023-09-17,18697685998
2023-09-18,18591494211
2023-09-19,18502594211
2023-09-20,18502594211
2023-09-21,18502594211
2023-09-22,18502594211
2023-09-23,18502594211
2023-09-24,18502594211
2023-09-25,18432594211
2023-09-26,18432594211
2023-09-27,18432594211
2023-09-28,18432594211
2023-09-29,18602594211
2023-09-30,18602594211
2023-10-01,18612594211
2023-10-02,18612594211
2023-10-03,19195594211
2023-10-04,19195594211
2023-10-05,19245794211
2023-10-06,19245794211
2023-10-07,19235894211
2023-10-08,19235894211
2023-10-09,19235894211
2023-10-10,19264813541
2023-10-11,19264813541
2023-10-12,19259813541
2023-10-13,19284813541
2023-10-14,19284813541
2023-10-15,19284813541
2023-10-16,19292813541
2023-10-17,19292813541
2023-10-18,19292813541
2023-10-19,19292813541
2023-10-20,19292813541
2023-10-21,19682813541
2023-10-22,19682813541
2023-10-23,19839005328
2023-10-24,20048992358
2023-10-25,20020479388
2023-10-26,20219566418
2023-10-27,20219566418
2023-10-28,20285805748
2023-10-29,20285805748
2023-10-30,20285805748
2023-10-31,20380805748
2023-11-01,20390805748
2023-11-02,20390805748
2023-11-03,20340705748
2023-11-04,20410705748
2023-11-05,20410705748
2023-11-06,20410705748
2023-11-07,20410205748
2023-11-08,20400205748
2023-11-09,20400205748
2023-11-10,20400205748
2023-11-11,20300305748
2023-11-12,20286305748
2023-11-13,20287305748
2023-11-14,20885818819
2023-11-15,20885818819
2023-11-16,20885818819
2023-11-17,20912718819
2023-11-18,20912718819
2023-11-19,20962718819
2023-11-20,20962718819
2023-11-21,20962718819
2023-11-22,20962718819
2023-11-23,20962718819
2023-11-24,20962718819
2023-11-25,20962718819
2023-11-26,20962718819
2023-11-27,20962718819
2023-11-28,20872218819
2023-11-29,20862218819
2023-11-30,20685318820
2023-12-01,20635318820
2023-12-02,20735318820
2023-12-03,20735318820
2023-12-04,20725318820
2023-12-05,20726318820
2023-12-06,20726318820
2023-12-07,20726318820
2023-12-08,20726318820
2023-12-09,20726318820
2023-12-10,20726318820
2023-12-11,20726318820
2023-12-12,20730318820
2023-12-13,20730318820
2023-12-14,20730318820
2023-12-15,20730318820
2023-12-16,20730318820
2023-12-17,20730318820
2023-12-18,20730318820
2023-12-19,20730318820
2023-12-20,20730318820
2023-12-21,20730318820
2023-12-22,20730318820
2023-12-23,20730318820
2023-12-24,20730318820
2023-12-25,20730318820
2023-12-26,20730318820
2023-12-27,20730318820
2023-12-28,20730318820
2023-12-29,20690318820
2023-12-30,20730318820
2023-12-31,20730318820
2024-01-01,20729318820
2024-01-02,20729318820
2024-01-03,20728418820
2024-01-04,20728418820
2024-01-05,20288578950
2024-01-06,20288678950
2024-01-07,20288678950
2024-01-08,20288678950
2024-01-09,20288678950
2024-01-10,20496165980
2024-01-11,20471165980
2024-01-12,20471165980
2024-01-13,20471165980
2024-01-14,20471165980
2024-01-15,20471165980
2024-01-16,20471165980
2024-01-17,20471165980
