date,antpool.com,coinmine.pl,f2pool.com,pool.btc.com,poolin.me
2023-01-04,1.81,0.1596699999999999,26.26,3.51,45.5
2023-01-05,1.99,0.35167,29.33,3.52,44.52
2023-01-06,2.07,0.3458,28.4,3.58,41.59
2023-01-07,1.93,0.2593,29.09,3.56,45.77
2023-01-08,1.91,0.29661,29.69,3.58,44.82
2023-01-09,1.9,0.2561,29.52,3.62,44.45
2023-01-10,1.99,0.28044,29.24,3.43,36.39
2023-01-11,1.97,0.29412,29.74,3.35,44.74
2023-01-12,2.07,0.0,28.81,3.48,44.02
2023-01-13,1.98,0.2971499999999999,28.77,3.45,34.58
2023-01-14,2.05,0.0,30.96,3.7,52.96
2023-01-15,1.85,0.29495,30.67,3.3,53.42
2023-01-16,2.17,0.3217,30.16,3.24,33.98
2023-01-17,1.88,0.0,30.84,3.27,38.73
2023-01-18,2.03,0.23223,30.72,3.27,55.21
2023-01-19,2.0,0.30972,29.53,3.3,40.37
2023-01-20,1.69,0.31573,29.23,3.32,40.64
2023-01-21,1.72,0.36546,28.53,3.33,31.87
2023-01-22,1.69,0.41185,29.22,3.36,52.65
2023-01-23,2.0,0.20934,25.39,3.38,54.08
2023-01-24,1.87,0.2125699999999999,29.38,3.42,49.07
2023-01-25,1.7,0.26863,26.5,3.45,48.93
2023-01-26,1.77,0.0,28.75,3.38,49.65
2023-01-27,1.71,0.3055,28.95,3.23,49.61
2023-01-28,1.63,0.24151,28.4,3.35,49.59
2023-01-29,1.52,0.31898,28.56,3.34,50.09
2023-01-30,1.64,0.0,27.84,3.3,47.67
2023-01-31,1.64,0.20306,28.16,3.25,49.55
2023-02-01,1.49,0.28967,24.39,3.25,51.53
2023-02-02,1.53,0.38587,25.0,3.24,41.55
2023-02-03,1.54,0.26332,25.11,2.18,53.04
2023-02-04,1.76,0.336,24.33,2.21,53.24
2023-02-05,1.7,0.29278,25.79,3.19,48.1
2023-02-06,1.82,0.14045,26.07,3.08,45.26
2023-02-07,1.52,0.2871499999999999,25.98,2.97,45.04
2023-02-08,1.56,0.26426,26.19,2.98,43.9
2023-02-09,1.56,0.15217,26.5,2.8,43.84
2023-02-10,1.45,0.23088,26.46,2.74,42.79
2023-02-11,1.54,0.16169,42.42,2.99,32.7
2023-02-12,1.55,0.19902,40.99,2.65,32.09
2023-02-13,1.5,0.18003,41.4,2.48,32.01
2023-02-14,1.64,0.13737,42.3,2.82,31.67
2023-02-15,1.45,0.17438,42.78,2.73,30.96
2023-02-16,1.42,0.22078,42.97,2.46,28.73
2023-02-17,1.55,0.17019,41.84,2.71,31.27
2023-02-18,1.41,0.15228,42.09,2.71,31.08
2023-02-19,1.75,0.2133,41.39,2.93,32.75
2023-02-20,1.64,0.1727,40.31,2.69,35.21
2023-02-21,0.0,0.3492,27.13,2.63,34.7
2023-02-22,3.03,0.26336,33.8,2.82,30.72
2023-02-23,3.36,0.27506,31.94,2.67,34.94
2023-02-24,5.98,0.24487,25.02,2.79,39.88
2023-02-25,6.4,0.28019,24.63,2.78,41.5
2023-02-26,6.23,0.32026,25.13,0.0,41.98
2023-02-27,6.56,0.2484799999999999,24.81,0.0,40.0
2023-02-28,6.56,0.27263,24.89,0.0,40.93
2023-03-01,6.87,0.28701,24.92,0.0,33.53
2023-03-02,6.44,0.28023,24.84,0.0,35.36
2023-03-03,6.81,0.21024,24.44,0.0,38.9
2023-03-04,6.76,0.22282,23.79,0.0,37.53
2023-03-05,6.83,0.24643,23.77,0.0,38.47
2023-03-06,6.8,0.22322,23.59,0.0,37.99
2023-03-07,7.28,0.29174,23.81,0.0,32.61
2023-03-08,6.61,0.25015,23.28,0.0,36.07
2023-03-09,2.03,0.26213,29.15,0.0,36.38
2023-03-10,7.35,0.25286,29.11,0.0,30.97
2023-03-11,2.14,0.19319,29.08,0.0,38.32
2023-03-12,6.56,0.22124,30.3,0.0,34.58
2023-03-13,7.26,0.1052999999999999,29.72,0.0,36.92
2023-03-14,6.99,0.16641,29.27,0.0,34.77
2023-03-15,7.3,0.1528,30.27,0.0,31.7
2023-03-16,7.35,0.18741,30.19,0.0,33.14
2023-03-17,7.25,0.21543,29.76,0.0,33.75
2023-03-18,7.31,0.1555699999999999,30.62,0.0,35.26
2023-03-19,2.25,0.0,29.88,0.0,36.9
2023-03-20,2.23,0.0,29.63,0.0,39.48
2023-03-21,2.23,0.15435,28.07,0.0,38.38
2023-03-22,4.38,0.14968,26.78,0.0,38.25
2023-03-23,5.02,0.11953,28.91,0.0,36.74
2023-03-24,4.79,0.09301,29.01,0.0,36.68
2023-03-25,9.13,0.15611,29.35,0.0,37.63
2023-03-26,9.46,0.19066,29.37,0.0,37.25
2023-03-27,9.15,0.09294,29.55,0.0,37.21
2023-03-28,9.56,0.0,30.14,0.0,37.54
2023-03-29,8.6,0.13033,32.3,0.0,36.55
2023-03-30,8.54,0.181,25.11,0.0,32.29
2023-03-31,8.87,0.15932,26.07,0.0,34.72
2023-04-01,8.42,0.17108,25.47,0.0,39.62
2023-04-02,8.52,0.13637,37.5,0.0,38.58
2023-04-03,8.82,0.16056,36.98,0.0,39.08
2023-04-04,4.3,0.14556,36.54,0.0,37.94
2023-04-05,8.2,0.17629,35.47,0.0,38.3
2023-04-06,8.33,0.11261,34.46,0.0,35.58
2023-04-07,8.84,0.0,35.34,0.0,38.01
2023-04-08,8.32,0.08538,23.31,0.0,37.02
2023-04-09,8.94,0.14292,23.27,0.0,36.92
2023-04-10,8.52,0.17553,23.4,0.0,33.97
2023-04-11,8.3,0.19132,33.4,0.0,38.34
