id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-01-30 01:36:34,[3],0.30000000000000004,False,337,4874,27,27,0,1.3.2,838973,0.008407345
dcrhive.com,mainnet,2022-06-23,2024-01-30 01:36:35,[3],0.15,False,1185,16207,93,93,0,1.3.2+bec2d12a0,838973,0.029562918
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-01-30 01:36:34,[3],0.9500000000000001,False,96,10203,66,65,1,1.3.2+bec2d12a0,838973,0.0023949705
decred.stake.fun,mainnet,2021-01-28,2024-01-30 01:36:34,[3],0.5,False,124,29510,177,175,2,1.3.1,838973,0.0030935036000000003
decredvoting.com,mainnet,2021-02-01,2024-01-30 01:36:35,[3],1,False,143,4927,34,33,1,1.3.2,838973,0.0035675082
stakey.net,mainnet,2020-10-22,2024-01-30 01:36:34,[3],1,False,224,30615,227,227,0,1.3.2+f79363a87,838973,0.005588264700000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-01-30 01:36:34,[3],0.6900000000000001,False,466,89278,997,222,775,1.3.1+22d04116b,1312026,0.09062622000000001
teststakepool.decred.org,testnet,2020-06-01,2024-01-30 01:36:34,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1297170,0
ultravsp.uk,mainnet,2020-12-01,2024-01-30 01:36:34,[3],0.30000000000000004,False,281,13402,81,80,1,1.4.0-pre+015cf707b,838973,0.0070102783000000005
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-01-30 01:36:35,[3],0.1,False,795,1843,0,0,0,1.3.2+bec2d12a0,838973,0.01983335
vsp.dcr.farm,mainnet,2020-12-09,2024-01-30 01:36:34,[3],1,False,157,8133,44,42,2,1.3.1,838973,0.003916775
vsp.decredcommunity.org,mainnet,2020-11-05,2024-01-30 01:36:34,[3],0.49,False,653,12509,63,63,0,1.3.2+bec2d12a0,838973,0.01629079
vsp.stakeminer.com,mainnet,2020-11-09,2024-01-30 01:36:35,[3],1,False,584,29144,177,177,0,1.3.1+1e824f8dd,838973,0.014569405
vspd.99split.com,mainnet,2020-11-17,2024-01-30 01:36:34,[3],0.30000000000000004,False,275,27128,173,173,0,1.3.2,838973,0.006860593000000001
vspd.bass.cf,mainnet,2022-05-01,2024-01-30 01:36:35,[3],0.2,False,1082,16748,141,0,0,1.2.0,838973,0.026993314
vspd.decredbrasil.com,mainnet,2020-11-22,2024-01-30 01:36:34,[3],5,False,35,2796,21,21,0,1.3.2+bec2d12a0,838973,0.0008731663699999999
