pool_id,url,hashrate,miners,minpay,id,feetype,workers,income,i_blocks,blocks_nr,lastblock,lastblocktime,blocks_1000,blocks_count,hashrate_average_100_count,hashrate_average_100hashrate_average_1h,hashrate_average_7d,hashrate_average_7d_count,expected_blocks,luck
miningandco.com,https://decred.miningandco.com,10340000000000,-1,-1,33,PPS,0,0,0,11,1018196,1760314817,88,22,68,0,11187356188749.998,168,40.94,-18.935951016663026
threepool.tech,https://dcr.threepool.tech,5770000000000,-1,-1,35,PPLNS,0,0,0,11,1018209,1760317198,246,27,68,0,5815783635232.142,168,23.74,3.2634368541575043
woolypooly.com,https://woolypooly.com,51310542848,2,0.05,37,PPLNS%0.9|SOLO%0.9,0,0,15859,0,0,0,0,0,68,0,12041339900.642855,168,0.18,0
cedric-crispin.com,https://decred.cedric-crispin.com,2600567007253,17,0.001,36,PPLNS,0,0,19352,21,1018197,1760314836,208,26,68,0,3198394974315.475,168,10.33,15.67251416250553
