,last_update,pub_key,alias,addresses,color,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.9.name,features.9.is_required,features.9.is_known,features.12.name,features.12.is_required,features.12.is_known,features.14.name,features.14.is_required,features.14.is_known,features.17.name,features.17.is_required,features.17.is_known,features.31.name,features.31.is_required,features.31.is_known,features.45.name,features.45.is_required,features.45.is_known,features.13.name,features.13.is_required,features.13.is_known,features.15.name,features.15.is_required,features.15.is_known,outCount,outCapacity,inCount,inCapacity,chCount
208,1725573155,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,hub0.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.32.162.169:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9002:617:5400:4ff:fe40:5353]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,44.0,861048120.0,239.0,4959098867.0,283.0
189,1725575238,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,lp0.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.77.194.164:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9002:f7f:5400:4ff:fe17:a225]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,43.0,3952524600.0,114.0,7402383399.0,157.0
205,1724095276,03b3db734a1b7b9a33fa47854a934422a04e463eafcfb69c31157b7e88428eb88e,dhill,"[{'network': 'tcp', 'addr': '97.91.13.35:9735'}, {'network': 'tcp', 'addr': '[2600:6c4a:4b3f:8560::5]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,5.0,455500000.0,11.0,1236000000.0,16.0
172,1725537574,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,6.0,720397490.0,4.0,1389998156.0,10.0
18,1725543735,0221d5de42faf9b73facdde4048e945ed586e8f576f0613117d7e1f4a974812cd4,br00.bisonrelay.org,"[{'network': 'tcp', 'addr': '45.77.195.239:9735'}, {'network': 'tcp', 'addr': '[2001:19f0:9003:77c:5400:4ff:fe44:35b0]:9735'}]",#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,9.0,1301000000.0,0.0,0.0,9.0
132,1718040236,02f1a8b8d244d4ab76a4de2d533d1226c24457a862933db2ef11de2cb68b9c7b9e,02f1a8b8d244d4ab76a4,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,amp,False,True,explicit-commitment-type,False,True,,,,,,,6.0,18000000.0,1.0,1000000.0,7.0
197,1699388675,039ab1a7e8a34c252c6a75b923c85d5f2cd5d53bdcc86638809ccfa8e8a1e07ed3,039ab1a7e8a34c252c6a,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,4.0,68000000.0,3.0,64000000.0,7.0
51,1697480661,026296f7990275e61ff204070490b501f85d4d4b8bf70e6a1a23beef8b132287fb,026296f7990275e61ff2,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,static-remote-key,True,True,payment-addr,True,True,multi-path-payments,False,True,,,,,,,,,,,,,6.0,39000000.0,0.0,0.0,6.0
73,1682909884,028b60c8054889be309d628a48b9a062bb20434b17a6da5c371c3bd227b30bd95a,028b60c8054889be309d,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,,,,static-remote-key,False,True,payment-addr,False,True,5.0,5000000.0,0.0,0.0,5.0
188,1686206303,0378e0cf1f369273cf6e8bdd16f7006ccdfab288235aa8c886c77f87db96c2658a,0378e0cf1f369273cf6e,[],#3399ff,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,tlv-onion,False,True,,,,,,,multi-path-payments,False,True,,,,,,,static-remote-key,False,True,payment-addr,False,True,5.0,2300000.0,0.0,0.0,5.0
