id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-04-26 02:00:14,[3],0.49,False,409,20638,136,1.1.0,758344,0.009996334
big.decred.energy,mainnet,2022-05-01,2023-04-26 02:00:15,[3],0.49,False,235,2343,7,1.1.1,758344,0.0057436150000000005
dcrhive.com,mainnet,2022-06-23,2023-04-26 02:00:14,[3],0.1,False,949,3594,6,1.1.1,758344,0.023194427
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-04-26 02:00:15,[3],0.9500000000000001,False,354,8413,48,1.1.1,758344,0.008652084
decredvoting.com,mainnet,2021-02-01,2023-04-26 02:00:15,[3],1,False,208,3816,25,1.1.1,758344,0.00508371
stakey.net,mainnet,2020-10-22,2023-04-26 02:00:14,[3],1,False,360,27243,198,1.1.1,758344,0.008798729
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-04-26 02:00:14,[3],0.6900000000000001,False,190,9253,23,1.2.0-pre+824c41c2a,1128011,0.037328094
teststakepool.decred.org,testnet,2020-06-01,2023-04-26 02:00:14,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-04-26 02:00:15,[3],0.30000000000000004,False,378,10284,52,1.1.1,758344,0.009238666000000001
vsp.coinmine.pl,mainnet,2021-01-28,2023-04-26 02:00:14,[3],0.5,False,187,27630,171,1.1.1,758344,0.0045704510000000005
vsp.dcr.farm,mainnet,2020-12-09,2023-04-26 02:00:14,[3],0.9500000000000001,False,97,6362,39,1.1.1,758344,0.0023707687
vsp.decredcommunity.org,mainnet,2020-11-05,2023-04-26 02:00:14,[3],0.49,False,480,7659,24,1.1.1,758344,0.011731639
vsp.stakeminer.com,mainnet,2020-11-09,2023-04-26 02:00:15,[3],1,False,628,23884,131,1.1.1,758344,0.015348894000000002
vspd.99split.com,mainnet,2020-11-17,2023-04-26 02:00:15,[3],0.30000000000000004,False,1924,18473,71,1.1.1,758344,0.047024317
vspd.bass.cf,mainnet,2022-05-01,2023-04-26 02:00:15,[3],0.2,False,778,7256,60,1.1.1,758344,0.019015031
vspd.decredbrasil.com,mainnet,2020-11-22,2023-04-26 02:00:15,[3],5,False,89,2179,15,1.1.1,758344,0.0021752412
