rank,useragent,count
1,/dcrwire:1.0.0/dcrd:2.0.6/,32
2,/dcrwire:1.0.0/dcrd:2.1.0(pre)/,24
3,/dcrwire:1.0.0/dcrd:1.8.0/,19
4,/dcrwire:1.0.0/dcrd:2.1.0/,15
5,/dcrwire:1.0.0/dcrd:2.0.5/,13
6,/dcrwire:1.0.0/dcrd:2.0.3/,8
7,/dcrwire:1.0.0/dcrd:2.0.4/,6
8,/dcrwire:1.0.0/dcrd:1.8.1/,3
9,/dcrwire:1.0.0/dcrd:2.0.1/,1
