id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-04-20 01:39:25,[3],0.30000000000000004,False,337,5717,3,31,1,1.2.0,862373,0.008213102
dcrhive.com,mainnet,2022-06-23,2024-04-20 01:39:24,[3],0.15,False,987,19558,114,114,0,1.3.2+bec2d12a0,862373,0.024054397
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-04-20 01:39:25,[3],0.9500000000000001,False,592,10895,69,68,1,1.3.2+bec2d12a0,862373,0.014427763000000001
decred.stake.fun,mainnet,2021-01-28,2024-04-20 01:39:25,[3],0.5,False,103,29818,182,180,2,1.3.1,862373,0.0025102359000000003
decredvoting.com,mainnet,2021-02-01,2024-04-20 01:39:25,[3],1,False,89,5396,37,36,1,1.3.2,862373,0.0021690389
stakey.net,mainnet,2020-10-22,2024-04-20 01:39:24,[3],1,False,186,31163,236,236,0,1.3.2+f79363a87,862373,0.0045330473
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-04-20 01:39:24,[3],0.6900000000000001,False,588,114867,1063,288,775,1.3.1+22d04116b,1367691,0.12813249000000002
teststakepool.decred.org,testnet,2020-06-01,2024-04-20 01:39:25,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1297170,0
ultravsp.uk,mainnet,2020-12-01,2024-04-20 01:39:24,[3],0.30000000000000004,False,350,14211,83,82,1,1.4.0-pre+015cf707b,862373,0.008529928
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-04-20 01:39:24,[3],0.1,False,884,4157,7,7,0,1.3.2+bec2d12a0,862373,0.02154416
vsp.dcr.farm,mainnet,2020-12-09,2024-04-20 01:39:24,[3],1,False,70,8418,46,44,2,1.3.1,862373,0.0017059855
vsp.decredcommunity.org,mainnet,2020-11-05,2024-04-20 01:39:25,[3],0.49,False,327,13868,75,75,0,1.3.2+bec2d12a0,862373,0.00796939
vsp.stakeminer.com,mainnet,2020-11-09,2024-04-20 01:39:25,[3],1,False,323,30486,187,187,0,1.3.2+81acb861c,862373,0.007871904
vspd.99split.com,mainnet,2020-11-17,2024-04-20 01:39:25,[3],0.30000000000000004,False,175,27745,181,181,0,1.3.2,862373,0.004264964
vspd.bass.cf,mainnet,2022-05-01,2024-04-20 01:39:25,[3],0.2,False,729,19436,158,0,0,1.2.0,862373,0.017766621
vspd.decredbrasil.com,mainnet,2020-11-22,2024-04-20 01:39:25,[3],5,False,35,2880,23,23,0,1.3.2,862373,0.0008529927599999999
