id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-04-29 01:44:56,[3],0.30000000000000004,False,311,5799,35,33,2,1.3.2,864985,0.0076042837000000005
dcrhive.com,mainnet,2022-06-23,2024-04-29 01:44:56,[3],0.15,False,936,19842,116,116,0,1.3.2+bec2d12a0,864985,0.022886205
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-04-29 01:44:56,[3],0.9500000000000001,False,626,11081,69,68,1,1.3.2+bec2d12a0,864985,0.015306372
decred.stake.fun,mainnet,2021-01-28,2024-04-29 01:44:56,[3],0.5,False,89,29853,182,180,2,1.3.1,864985,0.0021761456
decredvoting.com,mainnet,2021-02-01,2024-04-29 01:44:57,[3],1,False,78,5426,37,36,1,1.3.2,864985,0.0019071837
stakey.net,mainnet,2020-10-22,2024-04-29 01:44:56,[3],1,False,178,31216,236,236,0,1.3.2+f79363a87,864985,0.004352291
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-04-29 01:44:56,[3],0.6900000000000001,False,676,121865,1071,296,775,1.3.1+22d04116b,1376832,0.16007577
teststakepool.decred.org,testnet,2020-06-01,2024-04-29 01:44:56,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1311915,0
ultravsp.uk,mainnet,2020-12-01,2024-04-29 01:44:56,[3],0.30000000000000004,False,335,14298,83,82,1,1.4.0-pre+015cf707b,864985,0.00819111
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-04-29 01:44:56,[3],0.1,False,936,4467,8,8,0,1.3.2+bec2d12a0,864985,0.022886205
vsp.dcr.farm,mainnet,2020-12-09,2024-04-29 01:44:56,[3],1,False,71,8435,47,45,2,1.3.1,864985,0.0017360263
vsp.decredcommunity.org,mainnet,2020-11-05,2024-04-29 01:44:56,[3],0.49,False,307,13955,75,75,0,1.3.2+bec2d12a0,864985,0.0075064795000000005
vsp.stakeminer.com,mainnet,2020-11-09,2024-04-29 01:44:57,[3],1,False,363,30601,188,188,0,1.3.2+81acb861c,864985,0.00887574
vspd.99split.com,mainnet,2020-11-17,2024-04-29 01:44:56,[3],0.30000000000000004,False,163,27806,184,184,0,1.3.2,864985,0.003985525
vspd.bass.cf,mainnet,2022-05-01,2024-04-29 01:44:57,[3],0.2,False,584,19658,162,0,0,1.2.0,864985,0.014279427
vspd.decredbrasil.com,mainnet,2020-11-22,2024-04-29 01:44:56,[3],5,False,32,2892,23,23,0,1.3.2,864985,0.0007824343599999999
