id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-04-25 01:46:51,[3],0.30000000000000004,False,313,5767,35,33,2,1.3.2,863847,0.0075994850000000004
dcrhive.com,mainnet,2022-06-23,2024-04-25 01:46:51,[3],0.15,False,971,19734,116,116,0,1.3.2+bec2d12a0,863847,0.023575401000000003
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-04-25 01:46:51,[3],0.9500000000000001,False,611,10992,69,68,1,1.3.2+bec2d12a0,863847,0.014834778000000002
decred.stake.fun,mainnet,2021-01-28,2024-04-25 01:46:51,[3],0.5,False,90,29840,182,180,2,1.3.1,863847,0.0021851554
decredvoting.com,mainnet,2021-02-01,2024-04-25 01:46:52,[3],1,False,88,5406,37,36,1,1.3.2,863847,0.0021365965
stakey.net,mainnet,2020-10-22,2024-04-25 01:46:52,[3],1,False,190,31192,236,236,0,1.3.2+f79363a87,863847,0.0046131060000000005
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-04-25 01:46:51,[3],0.6900000000000001,False,926,118547,1069,294,775,1.3.1+22d04116b,1373029,0.16034631
teststakepool.decred.org,testnet,2020-06-01,2024-04-25 01:46:51,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1311915,0
ultravsp.uk,mainnet,2020-12-01,2024-04-25 01:46:51,[3],0.30000000000000004,False,358,14260,83,82,1,1.4.0-pre+015cf707b,863847,0.008692063
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-04-25 01:46:51,[3],0.1,False,961,4331,7,7,0,1.3.2+bec2d12a0,863847,0.023332605000000003
vsp.dcr.farm,mainnet,2020-12-09,2024-04-25 01:46:51,[3],1,False,67,8429,47,45,2,1.3.1,863847,0.0016267268
vsp.decredcommunity.org,mainnet,2020-11-05,2024-04-25 01:46:51,[3],0.49,False,307,13919,75,75,0,1.3.2+bec2d12a0,863847,0.007453808
vsp.stakeminer.com,mainnet,2020-11-09,2024-04-25 01:46:51,[3],1,False,384,30554,187,187,0,1.3.2+81acb861c,863847,0.009323331
vspd.99split.com,mainnet,2020-11-17,2024-04-25 01:46:51,[3],0.30000000000000004,False,158,27780,182,182,0,1.3.2,863847,0.003836162
vspd.bass.cf,mainnet,2022-05-01,2024-04-25 01:46:52,[3],0.2,False,653,19568,159,0,0,1.2.0,863847,0.015854517000000002
vspd.decredbrasil.com,mainnet,2020-11-22,2024-04-25 01:46:51,[3],5,False,30,2889,23,23,0,1.3.2,863847,0.0007283852
