id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2024-04-18 01:37:50,[3],0.30000000000000004,False,332,5698,3,31,1,1.2.0,861792,0.008105865
dcrhive.com,mainnet,2022-06-23,2024-04-18 01:37:49,[3],0.15,False,1019,19471,114,114,0,1.3.2+bec2d12a0,861792,0.024879145000000002
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2024-04-18 01:37:50,[3],0.9500000000000001,False,568,10862,69,68,1,1.3.2+bec2d12a0,861792,0.013867864
decred.stake.fun,mainnet,2021-01-28,2024-04-18 01:37:49,[3],0.5,False,106,29811,182,180,2,1.3.1,861792,0.002588017
decredvoting.com,mainnet,2021-02-01,2024-04-18 01:37:50,[3],1,False,92,5389,37,36,1,1.3.2,861792,0.0022462034
stakey.net,mainnet,2020-10-22,2024-04-18 01:37:49,[3],1,False,175,31154,235,235,0,1.3.2+f79363a87,861792,0.0042726696
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2024-04-18 01:37:49,[3],0.6900000000000001,False,549,113689,1062,287,775,1.3.1+22d04116b,1365444,0.10527325
teststakepool.decred.org,testnet,2020-06-01,2024-04-18 01:37:49,[3],3,False,0,213770,1032,0,0,1.3.0-pre+de79ce74b,1297170,0
ultravsp.uk,mainnet,2020-12-01,2024-04-18 01:37:49,[3],0.30000000000000004,False,357,14183,83,82,1,1.4.0-pre+015cf707b,861792,0.008716246
vote.dcr-swiss.ch,mainnet,2023-06-30,2024-04-18 01:37:49,[3],0.1,False,898,4110,7,7,0,1.3.2+bec2d12a0,861792,0.021924898
vsp.dcr.farm,mainnet,2020-12-09,2024-04-18 01:37:49,[3],1,False,63,8417,46,44,2,1.3.1,861792,0.0015381611000000002
vsp.decredcommunity.org,mainnet,2020-11-05,2024-04-18 01:37:50,[3],0.49,False,342,13844,74,74,0,1.3.2+bec2d12a0,861792,0.008350017500000001
vsp.stakeminer.com,mainnet,2020-11-09,2024-04-18 01:37:50,[3],1,False,320,30464,187,187,0,1.3.2+81acb861c,861792,0.007812882
vspd.99split.com,mainnet,2020-11-17,2024-04-18 01:37:50,[3],0.30000000000000004,False,178,27733,181,181,0,1.3.2,861792,0.0043459153
vspd.bass.cf,mainnet,2022-05-01,2024-04-18 01:37:50,[3],0.2,False,767,19375,157,0,0,1.2.0,861792,0.0187265
vspd.decredbrasil.com,mainnet,2020-11-22,2024-04-18 01:37:50,[3],5,False,39,2876,23,23,0,1.3.2,861792,0.0009521949
