name,base,quote,epochlen,lotsize,ratestep,buybuffer,status
eth_btc,eth,btc,7000,400000000,10,1.2,{'startepoch': 240575321}
btc_usdc.eth,btc,usdc.eth,7000,2500000,10000,1.2,{'startepoch': 240575321}
zec_usdc.eth,zec,usdc.eth,7000,2000000000,1000,1.2,{'startepoch': 240575321}
dcr_usdc.eth,dcr,usdc.eth,6000,4000000000,1000,1.2,{'startepoch': 280671207}
zec_btc,zec,btc,8000,1600000000,100,1.25,{'startepoch': 210503406}
dcr_btc,dcr,btc,10000,4000000000,100,1.25,{'startepoch': 168402725}
dcr_ltc,dcr,ltc,7000,200000000,1000,1.25,{'startepoch': 240575321}
ltc_btc,ltc,btc,8000,600000000,100,1.25,{'startepoch': 210503406}
doge_btc,doge,btc,6000,400000000000,1,1.25,{'startepoch': 280671207}
dgb_btc,dgb,btc,6000,2600000000000,1,1.2,{'startepoch': 280671207}
