side,qty,rate,time
2,2.0,13594170,2024-09-13 01:57:53.371
2,2.0,13470820,2024-09-13 01:57:53.013
2,2.0,13347470,2024-09-13 01:57:52.380
2,2.0,13224120,2024-09-13 01:57:51.961
2,2.0,13100770,2024-09-13 01:57:51.557
2,2.0,12977420,2024-09-13 01:57:51.160
2,0.2,12942780,2024-09-13 02:08:49.062
2,2.0,12881270,2024-09-13 02:08:48.799
2,2.0,12854070,2024-09-13 01:57:50.747
2,2.0,12819760,2024-09-13 02:08:48.534
2,2.0,12758250,2024-09-13 02:08:48.261
2,2.0,12730720,2024-09-13 01:57:50.364
2,2.0,12696740,2024-09-13 02:08:47.991
2,2.0,12635230,2024-09-13 02:08:47.736
2,1.5,12619710,2024-09-13 01:57:50.382
2,2.0,12573720,2024-09-13 02:08:47.475
2,1.5,12521030,2024-09-13 01:57:49.961
2,2.0,12512210,2024-09-13 02:08:47.207
2,1.0,12500000,2024-09-12 12:56:30.670
2,2.0,12450700,2024-09-13 02:08:46.948
2,4.2,12442470,2024-09-12 17:52:48.048
2,4.2,12442470,2024-09-12 17:52:47.462
2,1.9,12442470,2024-09-12 17:52:48.648
2,0.1,12442470,2024-09-12 17:53:00.763
2,1.5,12422350,2024-09-13 01:57:49.559
2,1.0,12389190,2024-09-13 02:08:46.669
2,1.0,12389190,2024-09-13 02:00:34.057
1,1.0,12364950,2024-09-13 02:08:12.232
1,0.4,12255420,2024-09-13 01:08:45.587
1,1.5,12247650,2024-09-13 01:57:47.890
1,0.4,12218510,2024-09-13 01:08:45.843
1,2.0,12214850,2024-09-13 02:00:31.007
1,0.4,12181590,2024-09-13 01:08:46.172
1,2.0,12153340,2024-09-13 02:00:31.433
1,1.5,12148970,2024-09-13 01:57:48.218
1,0.4,12144670,2024-09-13 01:08:46.597
1,0.4,12107760,2024-09-13 01:08:46.948
1,2.0,12091830,2024-09-13 02:00:31.660
1,0.4,12070840,2024-09-13 01:08:47.382
1,1.5,12050290,2024-09-13 01:57:48.538
1,4.2,12046450,2024-09-13 02:06:31.629
1,4.2,12046450,2024-09-13 02:06:31.194
1,4.2,12036650,2024-09-13 02:07:45.852
1,0.4,12033920,2024-09-13 01:08:47.819
1,2.0,12030320,2024-09-13 02:00:31.901
1,0.4,11997000,2024-09-13 01:08:48.163
1,2.0,11968810,2024-09-13 02:00:32.228
1,0.4,11960090,2024-09-13 01:08:48.584
1,2.0,11939280,2024-09-13 01:57:47.225
1,0.4,11923170,2024-09-13 01:08:48.930
1,2.0,11907300,2024-09-13 02:00:32.571
1,2.0,11845790,2024-09-13 02:00:32.813
1,2.0,11815930,2024-09-13 01:57:47.605
1,2.0,11784280,2024-09-13 02:00:33.045
1,2.0,11722770,2024-09-13 02:00:33.288
1,2.0,11692580,2024-09-13 01:57:47.995
1,2.0,11661260,2024-09-13 02:00:33.714
1,2.0,11569230,2024-09-13 01:57:48.348
1,2.0,11445880,2024-09-13 01:57:48.712
1,2.0,11322530,2024-09-13 01:57:49.085
1,2.0,11199180,2024-09-13 01:57:49.447
1,2.0,11075830,2024-09-13 01:57:49.819
