side,qty,rate,time
2,0.6,13793420,2024-09-26 01:41:04.274
2,0.6,13643420,2024-09-26 01:41:03.855
2,0.6,13493420,2024-09-26 01:41:03.508
2,0.6,13343420,2024-09-26 01:41:03.178
2,0.6,13193420,2024-09-26 01:41:02.835
2,0.6,13043420,2024-09-26 01:41:02.487
2,0.6,12943420,2024-09-26 01:41:02.118
2,2.5,12853910,2024-09-26 02:05:38.331
2,0.6,12843420,2024-09-26 01:41:01.669
2,2.5,12792820,2024-09-26 02:05:37.945
2,0.6,12743420,2024-09-26 01:41:01.187
2,2.5,12731740,2024-09-26 02:05:37.643
2,2.0,12730000,2024-09-25 15:34:04.884
2,2.5,12670660,2024-09-26 02:05:37.343
2,0.6,12643420,2024-09-26 01:41:00.815
2,2.5,12609570,2024-09-26 02:05:37.041
2,2.5,12548490,2024-09-26 02:05:36.719
2,0.6,12543420,2024-09-26 01:41:00.465
2,6.0,12497620,2024-09-26 02:07:02.364
2,2.5,12487410,2024-09-26 02:05:36.407
2,0.6,12443420,2024-09-26 01:41:00.126
2,6.0,12436480,2024-09-26 02:07:02.065
2,2.5,12426320,2024-09-26 02:05:36.063
2,6.0,12375350,2024-09-26 02:07:01.731
2,2.5,12365240,2024-09-26 02:05:35.659
2,0.6,12343420,2024-09-26 01:40:59.771
2,6.0,12314210,2024-09-26 02:07:01.416
2,2.5,12304150,2024-09-26 02:05:35.305
1,2.5,12129210,2024-09-26 02:05:31.742
1,2.5,12068120,2024-09-26 02:05:32.060
1,0.6,12040300,2024-09-26 01:40:54.365
1,2.5,12007040,2024-09-26 02:05:32.392
1,2.5,11945950,2024-09-26 02:05:32.728
1,0.6,11890300,2024-09-26 01:40:54.758
1,2.5,11884870,2024-09-26 02:05:33.058
1,2.5,11823790,2024-09-26 02:05:33.388
1,0.6,11790300,2024-09-26 01:40:55.114
1,2.5,11762700,2024-09-26 02:05:33.775
1,2.5,11701620,2024-09-26 02:05:34.113
1,0.6,11690300,2024-09-26 01:40:55.430
1,2.5,11640540,2024-09-26 02:05:34.428
1,0.6,11590300,2024-09-26 01:40:55.726
1,2.5,11579450,2024-09-26 02:05:34.748
1,0.6,11490300,2024-09-26 01:40:56.038
1,0.6,11390300,2024-09-26 01:40:56.489
1,0.6,11290300,2024-09-26 01:40:56.940
1,0.6,11140300,2024-09-26 01:40:57.233
1,0.6,10990300,2024-09-26 01:40:57.580
1,0.6,10840300,2024-09-26 01:40:57.858
1,0.6,10690300,2024-09-26 01:40:58.153
1,0.6,10540300,2024-09-26 01:40:58.448
1,10.0,10000000,2024-09-25 04:44:29.116
1,15.0,9000000,2024-09-25 04:44:39.399
1,20.0,8000000,2024-09-25 04:44:45.803
1,25.0,7000000,2024-09-25 04:45:02.492
1,30.0,6000000,2024-09-25 04:45:07.330
1,35.0,5000000,2024-09-25 04:45:16.066
1,40.0,4000000,2024-09-25 04:45:24.236
1,50.0,3000000,2024-09-25 04:45:42.608
1,75.0,2000000,2024-09-25 04:45:51.946
1,150.0,1000000,2024-09-25 04:46:01.492
