baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dcr,polygon,29628577830,0,0.0,0.0,29628577830,29628577830,0.0,2025-01-23 02:10:00.033
dcr,usdc.polygon,12605940,0,-0.07547601550708248,80.4,13635060,12605940,1057.8272820551338,2025-01-23 02:10:00.043
dcr,usdt.polygon,13154250,0,0.0,0.0,13154250,13154250,0.0,2025-01-23 02:10:00.029
btc,usdt.polygon,96245197360,0,0.0,0.0,96245197360,96245197360,0.0,2025-01-23 02:10:00.036
dgb,usdt.polygon,0,0,0.0,0.0,0,0,0.0,2025-01-23 02:10:00.026
usdc.polygon,usdt.polygon,100500000,0,0.0,0.0,100500000,100500000,0.0,2025-01-23 02:10:00.022
dcr,btc,12750,0,0.023192360163710776,2517.9948,13000,12460,33129.39795414129,2025-01-23 02:10:00.039
ltc,usdt.polygon,137229200,0,0.0,0.0,137229200,137229200,0.0,2025-01-23 02:10:00.046
