id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-08-18 03:24:55,[3],0.49,False,893,15402,94,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-08-18 03:24:55,[3],0.6900000000000001,False,115,295,0,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-08-18 03:24:55,[3],0.666,False,35,35,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-08-18 03:24:57,[3],1,False,55,1116,8,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-08-18 03:24:55,[3],1,False,25,370,1,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-08-18 03:24:55,[3],0.9500000000000001,False,233,6135,33,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-08-18 03:24:55,[3],1,False,120,2573,16,1.1.1
stakey.net,mainnet,2020-10-22,2022-08-18 03:24:55,[3],1,False,313,24761,176,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-08-18 03:24:55,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-08-18 03:24:55,[3],3,False,4,213712,1024,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-08-18 03:24:55,[3],0.30000000000000004,False,487,4558,13,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-08-18 03:24:55,[3],0.5,False,315,25375,153,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-08-18 03:24:55,[3],0.9500000000000001,False,139,4974,23,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-08-18 03:24:55,[3],0.49,False,330,3227,10,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-08-18 03:24:55,[3],1,False,653,18036,97,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-08-18 03:24:55,[3],1,False,0,66,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-08-18 03:24:55,[3],0.30000000000000004,False,805,5806,24,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-08-18 03:24:55,[3],0.2,False,124,69,0,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-08-18 03:24:55,[3],5,False,93,1525,11,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-08-18 03:24:55,[3],0.30000000000000004,False,2096,18100,83,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-08-18 03:24:55,[3],0.75,True,290,603,3,1.1.1
