id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion
123.dcr.rocks,mainnet,2021-04-28,2022-08-17 03:23:59,[3],0.49,False,894,15366,94,1.1.0
big.decred.energy,mainnet,2022-05-01,2022-08-17 03:24:00,[3],0.6900000000000001,False,116,292,0,1.1.1
dcrhive.com,mainnet,2022-06-23,2022-08-17 03:23:59,[3],0.666,False,33,35,0,1.1.1
dcrpool.ibitlin.com,mainnet,2021-01-13,2022-08-17 03:24:01,[3],1,False,55,1116,8,1.1.0-pre
dcrvsp.dittrex.com,mainnet,2021-04-07,2022-08-17 03:24:00,[3],1,False,24,369,1,1.2.0-pre
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2022-08-17 03:23:59,[3],0.9500000000000001,False,218,6133,33,1.1.1
decredvoting.com,mainnet,2021-02-01,2022-08-17 03:24:00,[3],1,False,125,2566,16,1.1.1
stakey.net,mainnet,2020-10-22,2022-08-17 03:23:59,[3],1,False,322,24749,176,1.1.1
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2022-08-17 03:23:59,[3],10,False,0,73412,668,1.1.0-pre
teststakepool.decred.org,testnet,2020-06-01,2022-08-17 03:24:00,[3],3,False,4,213708,1024,1.1.1
ultravsp.uk,mainnet,2020-12-01,2022-08-17 03:23:59,[3],0.30000000000000004,False,454,4540,13,1.1.1
vsp.coinmine.pl,mainnet,2021-01-28,2022-08-17 03:23:59,[3],0.5,False,311,25356,153,1.1.1
vsp.dcr.farm,mainnet,2020-12-09,2022-08-17 03:23:59,[3],0.9500000000000001,False,139,4969,23,1.1.0
vsp.decredcommunity.org,mainnet,2020-11-05,2022-08-17 03:24:00,[3],0.49,False,330,3216,10,1.1.1
vsp.stakeminer.com,mainnet,2020-11-09,2022-08-17 03:24:00,[3],1,False,673,18006,96,1.1.1
vspd-testnet.synergy-crypto.net,testnet,2021-05-01,2022-08-17 03:24:00,[3],1,False,0,66,2,1.1.1
vspd.99split.com,mainnet,2020-11-17,2022-08-17 03:24:00,[3],0.30000000000000004,False,812,5774,24,1.1.1
vspd.bass.cf,mainnet,2022-05-01,2022-08-17 03:24:00,[3],0.2,False,110,67,0,1.1.1
vspd.decredbrasil.com,mainnet,2020-11-22,2022-08-17 03:24:00,[3],5,False,91,1521,11,1.1.1
vspd.stakey.com,mainnet,2021-02-13,2022-08-17 03:24:00,[3],0.30000000000000004,False,2165,18003,83,1.1.0
vspd.synergy-crypto.net,mainnet,2021-06-10,2022-08-17 03:24:00,[3],0.75,True,294,599,3,1.1.1
