useragent,count
1.8.0,4
1.8.1,1
2.0.1,1
2.0.3,1
2.0.5,3
2.0.6,13
2.1.0,21
2.1.0 dev builds,1
2.1.1,55
2.1.2,57
2.2.0 dev builds,1
