side,qty,rate,time
2,10.0,14439240,2025-01-21 19:12:42.604
2,10.0,14372760,2025-01-21 19:12:42.007
2,10.0,14306290,2025-01-21 19:12:41.178
2,10.0,14239810,2025-01-21 19:12:40.388
2,10.0,14173330,2025-01-21 19:12:39.543
2,10.0,14106860,2025-01-21 19:12:38.759
2,15.0,12994440,2025-01-29 02:05:53.883
2,15.0,12875440,2025-01-29 02:05:53.485
2,15.0,12756440,2025-01-29 02:05:53.179
2,15.0,12637440,2025-01-29 02:05:52.849
2,15.0,12518450,2025-01-29 02:05:52.533
2,150.0,12393150,2025-01-29 02:08:49.020
2,0.4,12164080,2025-01-29 02:02:15.527
1,150.0,11535160,2025-01-29 02:08:42.801
1,600.0,11362370,2025-01-29 02:08:43.646
1,15.0,11281050,2025-01-29 02:05:50.729
1,15.0,11162060,2025-01-29 02:05:51.047
1,15.0,11043060,2025-01-29 02:05:51.418
1,15.0,10924060,2025-01-29 02:05:51.745
1,15.0,10805060,2025-01-29 02:05:52.162
