side,qty,rate,time
2,20.0,13570750,2024-11-13 01:20:33.235
2,20.0,13570750,2024-11-13 01:20:48.788
2,20.0,13570510,2024-11-13 02:02:46.864
2,20.0,13570510,2024-11-13 02:02:46.284
2,20.0,13570050,2024-11-13 02:03:01.909
2,20.0,13570050,2024-11-13 02:03:02.485
2,50.0,13399220,2024-11-13 00:12:06.501
1,20.0,13124680,2024-11-13 01:54:02.289
1,20.0,13114820,2024-11-13 01:54:02.860
1,20.0,13110410,2024-11-13 01:50:02.338
1,20.0,13110410,2024-11-13 01:50:03.048
1,20.0,12990670,2024-11-13 01:22:48.014
1,20.0,12990670,2024-11-13 01:22:46.473
