baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-10-12 01:41:37.023
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-10-12 01:41:36.010
doge,btc,0,0,0,0,0,0,0.0,2023-10-12 01:41:36.022
zec,btc,125300,0,0,0,125300,125300,0.0,2023-10-12 01:41:36.019
dcr,btc,46000,0,0,160,46000,45200,2004.612196406208,2023-10-12 01:41:30.188
eth,btc,699000,0,0,0,699000,699000,0.0,2023-10-12 01:41:37.026
dgb,btc,28,0,0,0,28,28,0.0,2023-10-12 01:41:36.027
ltc,btc,245900,0,0,0,245900,245900,0.0,2023-10-12 01:41:36.030
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-10-12 01:41:37.020
dcr,ltc,15849000,0,0,0,15849000,15849000,0.0,2023-10-12 01:41:37.026
