baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-10-23 01:44:15.019
dcr,ltc,15849000,0,0,0,15849000,15849000,0.0,2023-10-23 01:44:15.022
dgb,btc,28,0,0,0,28,28,0.0,2023-10-23 01:44:12.021
ltc,btc,245900,0,0,0,245900,245900,0.0,2023-10-23 01:44:16.025
zec,btc,125300,0,0,0,125300,125300,0.0,2023-10-23 01:44:16.022
dcr,btc,39700,0,0,0,39700,39700,0.0,2023-10-23 01:44:10.199
eth,btc,699000,0,0,0,699000,699000,0.0,2023-10-23 01:44:15.025
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-10-23 01:44:15.025
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-10-23 01:44:12.018
doge,btc,0,0,0,0,0,0,0.0,2023-10-23 01:44:12.021
