baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
zec,usdc.eth,0,0,0,0,0,0,0.0,2023-08-14 01:40:52.025
dcr,ltc,15849000,0,0,0,15849000,15849000,0.0,2023-08-14 01:40:52.028
dgb,btc,28,0,0,0,28,28,0.0,2023-08-14 01:40:54.023
ltc,btc,300200,0,0,0,300200,300200,0.0,2023-08-14 01:40:56.024
zec,btc,125300,0,0,0,125300,125300,0.0,2023-08-14 01:40:56.021
dcr,btc,50800,0,0,0,50800,50800,0.0,2023-08-14 01:40:50.187
eth,btc,699000,0,0,0,699000,699000,0.0,2023-08-14 01:40:52.028
btc,usdc.eth,29525450000,0,0,0,29525450000,29525450000,0.0,2023-08-14 01:40:52.028
dcr,usdc.eth,21097000,0,0,0,21097000,21097000,0.0,2023-08-14 01:40:54.020
doge,btc,0,0,0,0,0,0,0.0,2023-08-14 01:40:54.023
