baseID,quoteID,rate,bookVolume,change24,vol24,high24,low24,vol24USD,date
dgb,btc,28,0,0.0,0,28,28,0.0,2023-08-02 01:53:36.023
ltc,btc,300200,0,0.0,0,300200,300200,0.0,2023-08-02 01:53:36.023
zec,usdc.eth,0,0,0.0,0,0,0,0.0,2023-08-02 01:53:37.011
dcr,ltc,15849000,0,0.0,0,15849000,15849000,0.0,2023-08-02 01:53:37.019
eth,btc,699000,0,0.0,0,699000,699000,0.0,2023-08-02 01:53:37.022
btc,usdc.eth,29525450000,0,0.0,0,29525450000,29525450000,0.0,2023-08-02 01:53:37.013
dcr,usdc.eth,21097000,0,0.0,0,21097000,21097000,0.0,2023-08-02 01:53:36.020
doge,btc,0,0,0.0,0,0,0,0.0,2023-08-02 01:53:36.023
zec,btc,125300,0,0.0,0,125300,125300,0.0,2023-08-02 01:53:36.023
dcr,btc,49000,0,-0.07547169811320754,400,53000,49000,5749.234590199039,2023-08-02 01:53:30.252
