,last_update,pub_key,alias,addresses,color,features.9.name,features.9.is_required,features.9.is_known,features.13.name,features.13.is_required,features.13.is_known,features.0.name,features.0.is_required,features.0.is_known,features.5.name,features.5.is_required,features.5.is_known,features.7.name,features.7.is_required,features.7.is_known,features.15.name,features.15.is_required,features.15.is_known,features.17.name,features.17.is_required,features.17.is_known,outCount,outCapacity,inCount,inCapacity,chCount
31,1669436035,035367ba8ce27b52d1bcc6af833bb38b446e920b4b8e3ff6ee47e9a56a6b71fe54,dcrln-01.matheusd.com,"[{'network': 'tcp', 'addr': '45.63.21.56:9735'}]",#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,7.0,60997490.0,20.0,806742640.0,27.0
42,1669430959,03bd03386d7b2efe80ae46d6c8cfcfdfcf9c9297a465ac0d48c110d11ae58ed509,03bd03386d7b2efe80ae,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,5.0,25500000.0,13.0,391897490.0,18.0
44,1669405578,03cfb6f8ca8efa8fb940494c9af11532c6442736b86650fcb3a61e02883dc0d81d,ln.decredcommunity.org,"[{'network': 'tcp', 'addr': '95.216.110.66:9735'}]",#70cbff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,4.0,291000000.0,8.0,127307068.0,12.0
47,1668468441,03ea6dfff9e1cb747ff426da64bc849b60788864e6ca5e5ac746245273ddd7042a,03ea6dfff9e1cb747ff4,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,9996310.0,7.0,65996782.0,8.0
48,1666728401,03ec729b8d558ce05455525577eec5872e104bd1ee52b69c744e7d61a6765fbc1c,jholdstock ⚡,"[{'network': 'tcp', 'addr': '51.68.214.224:9735'}]",#ff6600,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,6.0,249412840.0,6.0
1,1660693449,0204380154466972338341f5a5b5814be7a96e35f2a76ab3a45fd0baee5bafbd00,El Gran Bisonte ⚡🐂⚡,"[{'network': 'tcp', 'addr': '51.15.91.167:9735'}]",#091440,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,6.0,235496782.0,0.0,0.0,6.0
40,1669425331,03aa05f777bf81c4c4c6e33d559235e0dd0ab4dd6046428e72c142a14f858934ba,in.decred.live,"[{'network': 'tcp', 'addr': '103.212.120.137:9735'}]",#41bf53,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,4.0,94419040.0,1.0,5000000.0,5.0
45,1669427747,03d59c3acef408f54870b4f06d18007ca069c6c7bce913d36aae79219c8f46b9d3,watchtower.decred.live,"[{'network': 'tcp', 'addr': '82.165.108.160:9735'}]",#41bf53,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,3.0,490000000.0,4.0
39,1669478227,0378f2ac061acbbc68d46241074cc658479923b01bd3adaf161b77270f8123d385,0378f2ac061acbbc68d4,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,100000000.0,3.0,21000000.0,4.0
43,1614748425,03c2865ebbe5b5e5dc38829d974a697c486eff535c13a68ad80fb0fc71f47e17eb,dcr.farm,[],#0088c6,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,20000000.0,1.0,1000000.0,3.0
49,1641762028,03f2c91b29337de58a95ca90165b13a10e46e83b621cdf660ea30deeff127d44d1,Liq-BR,"[{'network': 'tcp', 'addr': '18.230.115.229:9735'}]",#009c3b,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,3.0,33590666.0,3.0
25,1669398664,033c8d18df6a62acb3eda5d385a962ca3e34055d05421191ad4eeff58aefa06ed8,watchtower.decred.energy,"[{'network': 'tcp', 'addr': '108.170.31.106:9735'}]",#41bf53,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,400000000.0,1.0,200000000.0,3.0
0,1582124555,020095fe38f507de2160efd20a1ce0754a6b26c532efc2f32d25dd2b4a3811f69a,01_chinese_ln.dcrclub.org,"[{'network': 'tcp', 'addr': '198.211.53.68:9735'}]",#ffff00,tlv-onion,False,True,static-remote-key,False,True,,,,,,,,,,,,,,,,2.0,35000000.0,0.0,0.0,2.0
36,1669389726,0366033780fc72f864551f5b245a95620b2e539e54f8174023b7c4ce9b6ac3dccd,0366033780fc72f86455,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,110000000.0,0.0,0.0,2.0
19,1666729766,02f90b47336316ee2d04a4801983299fdfa2fe671e5d187009998931b70e5211f6,02f90b47336316ee2d04,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,2.0,11000000.0,0.0,0.0,2.0
46,1669432380,03dcb813ed46de74aa2cf1c36e49ddbeb58f87feb282b0edc9fd4c0d1b06c7ccf3,03dcb813ed46de74aa2c,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,0.0,0.0,2.0,8500000.0,2.0
24,1647261839,0336c9b68f15d5dda93e9747c9dc64cb7f8dc56800bbe2d065f18789c39c1039e0,0336c9b68f15d5dda93e,[],#3399ff,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,595984.0,1.0,9000000.0,2.0
26,1669413412,0340b65798a6bf46af88dfc20b70eccb100793cc0d704b2b487a67bfdee1ae7f7c,es.decred.live,"[{'network': 'tcp', 'addr': '82.223.23.73:9735'}]",#41bf53,tlv-onion,False,True,static-remote-key,False,True,data-loss-protect,True,True,upfront-shutdown-script,False,True,gossip-queries,False,True,payment-addr,False,True,multi-path-payments,False,True,1.0,200000000.0,1.0,200000000.0,2.0
