side,qty,rate,time
2,160.0,30000,2025-06-17 02:48:03.196
2,480.0,29990,2025-06-01 18:42:47.285
2,200.0,19990,2025-06-01 18:43:08.308
2,200.0,16250,2025-06-04 14:17:32.729
2,200.0,15750,2025-06-04 14:17:04.731
2,200.0,15250,2025-06-04 14:16:46.731
2,40.0,15000,2025-06-05 21:38:22.642
2,200.0,14750,2025-06-04 14:16:04.732
2,40.0,13810,2025-06-18 01:31:00.856
1,40.0,13620,2025-06-18 00:53:23.893
1,40.0,13580,2025-06-18 00:53:24.099
1,40.0,13520,2025-06-18 00:35:32.465
1,40.0,13500,2025-06-17 22:53:11.692
1,40.0,13450,2025-06-18 00:35:33.626
1,1000.0,10000,2025-06-01 18:42:21.355
1,2000.0,2000,2025-06-01 18:42:11.244
1,20000.0,590,2025-06-01 18:41:56.772
