id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2026-03-24 01:34:06,[3],0.088,False,1761,22953,128,9,1.4.0,1064910,0.042757247000000005
dcr.cerebro.host,mainnet,2024-09-09,2026-03-24 01:34:06,[3],0.888,False,32,58,0,3,1.4.0+d190a83b6,1064910,0.0007769630000000001
dcrhive.com,mainnet,2022-06-23,2026-03-24 01:34:06,[3],1,False,237,30900,232,2,1.4.0+d190a83b6,1064910,0.0057543823
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2026-03-24 01:34:06,[3],0.9500000000000001,False,96,15195,102,320,1.4.0+d190a83b6,1064910,0.0023308892
decred.stake.fun,mainnet,2021-01-28,2026-03-24 01:34:06,[3],0.5,False,874,34232,198,105,1.4.0,1064910,0.021220803
decredvoting.com,mainnet,2021-02-01,2026-03-18 12:35:55,[3],1,False,71,9503,67,2,1.4.0,1063454,0.0017326370000000002
stakey.net,mainnet,2020-10-22,2026-03-24 01:34:06,[3],1,False,99,36985,285,5,1.4.0,1064910,0.0024037294
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2026-03-24 01:34:06,[3],0.6900000000000001,False,444,415318,942,1065,1.4.0+d190a83b6,1876522,0.08660035
teststakepool.decred.org,testnet,2020-06-01,2026-03-24 01:34:06,[3],3,False,0,213770,488,571,1.4.0-pre+5263bfc2e,1876523,0
ultravsp.uk,mainnet,2020-12-01,2026-03-24 01:34:06,[3],0.30000000000000004,False,428,21260,135,4,1.4.0+d190a83b6,1064910,0.010391881
vote.dcr-swiss.ch,mainnet,2023-06-30,2026-03-24 01:34:06,[3],0.18,False,568,33309,215,3,1.4.0+d190a83b6,1064910,0.013791094
vsp.dcr.farm,mainnet,2020-12-09,2026-03-24 01:34:06,[3],0.5,False,341,17815,102,2,1.4.0,1064910,0.008279513
vsp.decredcommunity.org,mainnet,2020-11-05,2026-03-24 01:34:06,[3],0.49,False,657,24414,150,41,1.4.0+d190a83b6,1064910,0.015952023000000003
vsp.stakeminer.com,mainnet,2020-11-09,2026-03-24 01:34:06,[3],1,False,323,37290,245,0,1.4.0+d190a83b6,1064910,0.007842471
vspd.bass.cf,mainnet,2022-05-01,2026-03-24 01:34:06,[3],0.16,False,143,30524,183,80,1.4.0,1064910,0.0034720537
