id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-03-14 01:57:43,[3],0.49,False,462,19990,128,1.1.0,745968,0.011295844000000001
big.decred.energy,mainnet,2022-05-01,2023-03-14 01:57:44,[3],0.49,False,251,2006,4,1.1.1,745968,0.0061369194
dcrhive.com,mainnet,2022-06-23,2023-03-14 01:57:43,[3],0.1,False,940,2058,4,1.1.1,745968,0.022982884000000002
dcrpool.ibitlin.com,mainnet,2021-01-13,2023-02-28 09:15:57,[3],1,False,4,1198,9,1.1.0-pre,742057,9.913996e-05
dcrvsp.dittrex.com,mainnet,2021-04-07,2023-03-14 01:57:44,[3],5,False,7,502,2,1.2.0-pre,745968,0.00017114915
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-03-14 01:57:44,[3],0.9500000000000001,False,304,7846,46,1.1.1,745968,0.007432763
decredvoting.com,mainnet,2021-02-01,2023-03-14 01:57:44,[3],1,False,146,3582,25,1.1.1,745968,0.0035696821000000003
stakey.net,mainnet,2020-10-22,2023-03-14 01:57:43,[3],1,False,272,26825,196,1.1.1,745968,0.006650367000000001
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-03-14 01:57:43,[3],0.6900000000000001,False,247,2513,1,1.2.0-pre+824c41c2a,1100227,0.048195124000000006
teststakepool.decred.org,testnet,2020-06-01,2023-03-14 01:57:44,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-03-14 01:57:43,[3],0.30000000000000004,False,502,9603,43,1.1.1,745968,0.012273839
vsp.coinmine.pl,mainnet,2021-01-28,2023-03-14 01:57:43,[3],0.5,False,245,27318,170,1.1.1,745968,0.0059902202
vsp.dcr.farm,mainnet,2020-12-09,2023-03-14 01:57:43,[3],0.9500000000000001,False,119,6185,38,1.1.0,745968,0.0029095355
vsp.decredcommunity.org,mainnet,2020-11-05,2023-03-14 01:57:43,[3],0.49,False,611,6901,21,1.1.1,745968,0.014938875
vsp.stakeminer.com,mainnet,2020-11-09,2023-03-14 01:57:44,[3],1,False,656,22947,124,1.1.1,745968,0.01603912
vspd.99split.com,mainnet,2020-11-17,2023-03-14 01:57:44,[3],0.30000000000000004,False,1873,15761,65,1.1.1,745968,0.04579462
vspd.bass.cf,mainnet,2022-05-01,2023-03-14 01:57:45,[3],0.2,False,808,6236,51,1.1.1,745968,0.019755501
vspd.decredbrasil.com,mainnet,2020-11-22,2023-03-14 01:57:44,[3],5,False,80,2064,15,1.1.1,745968,0.0019559902
