id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,revoked,vspdversion,blockheight,estimatednetworkproportion
123.dcr.rocks,mainnet,2021-04-28,2023-03-15 02:06:40,[3],0.49,False,456,20009,128,1.1.0,746273,0.011155417
big.decred.energy,mainnet,2022-05-01,2023-03-15 02:06:41,[3],0.49,False,256,2014,4,1.1.1,746273,0.0062626903
dcrhive.com,mainnet,2022-06-23,2023-03-15 02:06:40,[3],0.1,False,958,2091,4,1.1.1,746273,0.023436163000000003
dcrpool.ibitlin.com,mainnet,2021-01-13,2023-02-28 09:15:57,[3],1,False,4,1198,9,1.1.0-pre,742057,9.913996e-05
dcrvsp.dittrex.com,mainnet,2021-04-07,2023-03-15 02:06:41,[3],5,False,6,503,2,1.2.0-pre,746273,0.00014678180999999998
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2023-03-15 02:06:41,[3],0.9500000000000001,False,312,7855,46,1.1.1,746273,0.007632654000000001
decredvoting.com,mainnet,2021-02-01,2023-03-15 02:06:41,[3],1,False,146,3588,25,1.1.1,746273,0.0035716908
stakey.net,mainnet,2020-10-22,2023-03-15 02:06:40,[3],1,False,264,26835,196,1.1.1,746273,0.0064583999999999996
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2023-03-15 02:06:40,[3],0.6900000000000001,False,246,2701,1,1.2.0-pre+824c41c2a,1100970,0.048320565
teststakepool.decred.org,testnet,2020-06-01,2023-03-15 02:06:40,[3],3,False,0,213765,1032,1.1.1,1085710,0
ultravsp.uk,mainnet,2020-12-01,2023-03-15 02:06:40,[3],0.30000000000000004,False,512,9624,44,1.1.1,746273,0.012525381
vsp.coinmine.pl,mainnet,2021-01-28,2023-03-15 02:06:40,[3],0.5,False,246,27323,170,1.1.1,746273,0.006018054
vsp.dcr.farm,mainnet,2020-12-09,2023-03-15 02:06:40,[3],0.9500000000000001,False,118,6188,38,1.1.0,746273,0.0028867088000000003
vsp.decredcommunity.org,mainnet,2020-11-05,2023-03-15 02:06:40,[3],0.49,False,606,6920,21,1.1.1,746273,0.014824962
vsp.stakeminer.com,mainnet,2020-11-09,2023-03-15 02:06:41,[3],1,False,638,22968,124,1.1.1,746273,0.015607799
vspd.99split.com,mainnet,2020-11-17,2023-03-15 02:06:41,[3],0.30000000000000004,False,1834,15844,65,1.1.1,746273,0.044866305
vspd.bass.cf,mainnet,2022-05-01,2023-03-15 02:06:41,[3],0.2,False,806,6262,53,1.1.1,746273,0.01971769
vspd.decredbrasil.com,mainnet,2020-11-22,2023-03-15 02:06:41,[3],5,False,80,2065,15,1.1.1,746273,0.0019570908
